spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,RB Leipzig,h,6:0,108,7.20
2,0,2,FC Augsburg,a,2:3,58,4.14
3,1,11,Hamburger SV,h,5:0,106,6.62
4,0,3,TSG Hoffenheim,a,1:4,76,4.75
6,0,3,Eintracht Frankfurt,a,0:3,71,5.07
7,0,5,Borussia Dortmund,h,2:1,52,4.00
9,0,3,Bayer 04 Leverkusen,h,3:0,80,5.00
10,0,2,1. FC Union Berlin,a,2:2,58,4.14
11,0,9,Sport-Club Freiburg,h,6:2,98,6.12
12,0,9,FC St. Pauli,h,3:1,91,5.69
13,0,4,VfB Stuttgart,a,0:5,96,6.00
14,0,3,1. FSV Mainz 05,h,2:2,67,4.47
16,0,4,VfL Wolfsburg,h,8:1,107,6.69
17,0,5,1. FC Köln,a,1:3,75,5.00
18,1,11,RB Leipzig,a,1:5,92,6.13
19,0,9,FC Augsburg,h,1:2,59,3.69
20,0,7,Hamburger SV,a,2:2,59,4.21
21,0,9,TSG Hoffenheim,h,5:1,104,6.50
23,1,10,Eintracht Frankfurt,h,3:2,74,5.29
24,0,3,Borussia Dortmund,a,2:3,67,5.58
26,0,5,Bayer 04 Leverkusen,a,1:1,48,3.69
28,0,4,Sport-Club Freiburg,a,2:3,72,4.50
31,0,2,1. FSV Mainz 05,a,3:4,70,4.38
32,0,2,1. FC Heidenheim,h,3:3,67,4.19
