spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
4,0,-1,1. FC Union Berlin,h,3:4,57,3.56
5,0,-1,Borussia M'gladbach,a,4:6,89,5.56
6,0,-2,FC Bayern München,h,0:3,25,1.56
7,0,2,Sport-Club Freiburg,a,2:2,40,2.50
16,0,3,Borussia Dortmund,h,3:3,56,3.73
17,0,6,VfB Stuttgart,a,3:2,46,2.88
18,0,-1,SV Werder Bremen,a,3:3,51,3.40
19,0,-1,TSG Hoffenheim,h,1:3,35,2.33
20,0,-1,Bayer 04 Leverkusen,h,1:3,33,2.20
21,0,0,1. FC Union Berlin,a,1:1,41,2.93
22,0,8,Borussia M'gladbach,h,3:0,87,5.44
23,0,8,FC Bayern München,a,3:2,45,2.81
24,0,2,Sport-Club Freiburg,h,2:0,81,5.06
