spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,8,SV Werder Bremen,h,4:1,89,5.56
2,0,5,TSG Hoffenheim,a,1:3,68,4.25
3,0,1,Bayer 04 Leverkusen,a,3:1,16,1.00
4,0,5,1. FC Union Berlin,h,3:4,57,3.56
5,1,15,Borussia M'gladbach,a,4:6,89,5.56
6,0,2,FC Bayern München,h,0:3,25,1.56
7,0,2,Sport-Club Freiburg,a,2:2,40,2.50
8,0,6,FC St. Pauli,h,2:0,65,4.64
10,0,1,1. FSV Mainz 05,h,1:0,63,3.94
11,0,4,1. FC Köln,a,3:4,69,4.60
12,0,2,VfL Wolfsburg,h,1:1,55,3.67
13,0,1,RB Leipzig,a,6:0,8,0.50
14,0,1,FC Augsburg,h,1:0,57,3.56
18,0,5,SV Werder Bremen,a,3:3,51,3.40
19,0,2,TSG Hoffenheim,h,1:3,35,2.33
21,0,3,1. FC Union Berlin,a,1:1,41,2.93
23,0,2,FC Bayern München,a,3:2,45,2.81
24,1,13,Sport-Club Freiburg,h,2:0,81,5.06
25,0,3,FC St. Pauli,a,0:0,54,4.15
26,0,4,1. FC Heidenheim,h,1:0,58,4.14
27,0,4,1. FSV Mainz 05,a,2:1,51,3.19
28,0,8,1. FC Köln,h,2:2,73,4.56
29,0,6,VfL Wolfsburg,a,1:2,61,4.07
30,0,3,RB Leipzig,h,1:3,54,3.60
31,0,,FC Augsburg,a,1:1,61,4.36
32,0,4,Hamburger SV,h,1:2,40,2.50
33,0,1,Borussia Dortmund,a,3:2,46,2.88
34,0,3,VfB Stuttgart,h,2:2,51,3.19
