spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
16,0,2,TSG Hoffenheim,h,0:2,54,3.60
17,0,0,Borussia Dortmund,a,3:0,24,1.60
19,0,3,Bayer 04 Leverkusen,a,1:0,53,3.53
20,0,8,Borussia M'gladbach,h,1:1,68,4.53
21,0,3,Sport-Club Freiburg,a,1:0,49,3.27
24,0,3,1. FC Heidenheim,h,2:0,47,3.36
25,1,14,1. FC Union Berlin,a,1:4,93,6.20
26,0,4,1. FSV Mainz 05,h,0:2,46,2.88
27,0,4,VfL Wolfsburg,a,0:1,52,3.71
28,0,3,RB Leipzig,h,1:2,48,3.00
29,0,5,1. FC Köln,a,3:1,33,2.20
30,0,4,Hamburger SV,h,3:1,71,5.46
31,0,2,VfB Stuttgart,a,1:1,54,3.86
32,0,3,FC Augsburg,h,1:3,51,3.40
33,0,7,TSG Hoffenheim,a,1:0,40,2.67
34,0,4,Borussia Dortmund,h,0:2,46,3.07
