spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,-2,Eintracht Frankfurt,a,4:1,20,1.43
8,0,2,1. FC Union Berlin,h,1:0,67,4.19
15,0,2,FC Augsburg,a,0:0,57,3.80
16,0,1,TSG Hoffenheim,h,0:2,54,3.60
19,0,4,Bayer 04 Leverkusen,a,1:0,53,3.53
20,0,2,Borussia M'gladbach,h,1:1,68,4.53
21,0,-2,Sport-Club Freiburg,a,1:0,49,3.27
22,0,1,FC Bayern München,h,0:3,41,2.56
24,0,,1. FC Heidenheim,h,2:0,47,3.36
25,0,2,1. FC Union Berlin,a,1:4,93,6.20
26,0,2,1. FSV Mainz 05,h,0:2,46,2.88
