spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,3,Eintracht Frankfurt,h,1:3,50,3.33
3,0,2,1. FC Union Berlin,a,2:4,77,5.13
6,0,2,1. FC Köln,h,0:1,48,3.20
7,0,2,FC St. Pauli,a,0:3,82,5.86
8,0,1,1. FC Heidenheim,h,3:1,70,4.38
9,0,2,VfL Wolfsburg,a,2:3,70,4.38
11,0,2,1. FSV Mainz 05,a,1:1,57,4.07
12,0,1,FC Augsburg,h,3:0,79,4.94
13,0,2,Borussia Dortmund,a,2:0,39,2.44
16,0,1,SV Werder Bremen,a,0:2,60,4.62
17,1,9,Borussia M'gladbach,h,5:1,102,6.38
18,0,2,Bayer 04 Leverkusen,h,1:0,59,3.93
19,1,7,Eintracht Frankfurt,a,1:3,57,4.38
20,0,3,1. FC Union Berlin,h,3:1,61,4.36
21,0,1,FC Bayern München,a,5:1,19,1.19
22,0,2,Sport-Club Freiburg,h,3:0,97,6.93
23,0,1,1. FC Köln,a,2:2,57,4.38
27,0,2,RB Leipzig,a,5:0,3,0.19
28,0,,1. FSV Mainz 05,h,1:2,48,3.43
30,0,2,Borussia Dortmund,h,2:1,52,3.47
31,0,2,Hamburger SV,a,1:2,57,3.56
32,0,2,VfB Stuttgart,h,3:3,57,4.75
