spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,2,17,SV Werder Bremen,h,4:1,89,5.56
2,0,6,TSG Hoffenheim,a,1:3,68,4.25
3,0,4,Bayer 04 Leverkusen,a,3:1,16,1.00
4,0,0,1. FC Union Berlin,h,3:4,57,3.56
6,0,6,FC Bayern München,h,0:3,25,1.56
7,0,1,Sport-Club Freiburg,a,2:2,40,2.50
8,0,1,FC St. Pauli,h,2:0,65,4.64
9,0,3,1. FC Heidenheim,a,1:1,73,4.56
10,0,3,1. FSV Mainz 05,h,1:0,63,3.94
11,0,2,1. FC Köln,a,3:4,69,4.60
12,0,4,VfL Wolfsburg,h,1:1,55,3.67
13,0,2,RB Leipzig,a,6:0,8,0.50
14,0,2,FC Augsburg,h,1:0,57,3.56
15,0,2,Hamburger SV,a,1:1,52,3.25
17,0,3,VfB Stuttgart,a,3:2,46,2.88
19,0,3,TSG Hoffenheim,h,1:3,35,2.33
20,0,2,Bayer 04 Leverkusen,h,1:3,33,2.20
21,0,1,1. FC Union Berlin,a,1:1,41,2.93
22,0,9,Borussia M'gladbach,h,3:0,87,5.44
23,0,4,FC Bayern München,a,3:2,45,2.81
24,1,12,Sport-Club Freiburg,h,2:0,81,5.06
25,0,3,FC St. Pauli,a,0:0,54,4.15
26,0,5,1. FC Heidenheim,h,1:0,58,4.14
27,0,6,1. FSV Mainz 05,a,2:1,51,3.19
32,0,3,Hamburger SV,h,1:2,40,2.50
33,0,5,Borussia Dortmund,a,3:2,46,2.88
34,0,2,VfB Stuttgart,h,2:2,51,3.19
