spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
22,0,1,VfL Wolfsburg,h,2:2,74,4.62
23,0,6,Borussia Dortmund,h,2:2,69,4.60
24,0,2,Hamburger SV,a,1:2,57,4.38
25,0,8,FC Augsburg,h,2:1,68,4.53
26,0,0,VfB Stuttgart,a,1:0,35,2.33
27,0,5,TSG Hoffenheim,h,5:0,102,6.38
28,0,4,SV Werder Bremen,a,1:2,57,3.80
29,0,4,Borussia M'gladbach,h,1:0,72,4.80
30,0,5,Eintracht Frankfurt,a,1:3,75,5.36
31,0,1,1. FC Union Berlin,h,3:1,77,4.81
32,0,0,Bayer 04 Leverkusen,a,4:1,40,2.50
33,0,4,FC St. Pauli,h,2:1,64,4.57
