spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,2,SV Werder Bremen,h,4:1,89,5.56
2,0,1,TSG Hoffenheim,a,1:3,68,4.25
3,0,-3,Bayer 04 Leverkusen,a,3:1,16,1.00
4,1,13,1. FC Union Berlin,h,3:4,57,3.56
5,0,7,Borussia M'gladbach,a,4:6,89,5.56
6,0,2,FC Bayern München,h,0:3,25,1.56
7,0,3,Sport-Club Freiburg,a,2:2,40,2.50
8,0,2,FC St. Pauli,h,2:0,65,4.64
9,0,5,1. FC Heidenheim,a,1:1,73,4.56
10,0,6,1. FSV Mainz 05,h,1:0,63,3.94
11,0,2,1. FC Köln,a,3:4,69,4.60
12,0,1,VfL Wolfsburg,h,1:1,55,3.67
13,0,0,RB Leipzig,a,6:0,8,0.50
14,0,3,FC Augsburg,h,1:0,57,3.56
15,0,9,Hamburger SV,a,1:1,52,3.25
16,0,2,Borussia Dortmund,h,3:3,56,3.73
18,0,5,SV Werder Bremen,a,3:3,51,3.40
19,0,5,TSG Hoffenheim,h,1:3,35,2.33
20,0,2,Bayer 04 Leverkusen,h,1:3,33,2.20
21,1,12,1. FC Union Berlin,a,1:1,41,2.93
22,1,11,Borussia M'gladbach,h,3:0,87,5.44
23,0,4,FC Bayern München,a,3:2,45,2.81
24,0,7,Sport-Club Freiburg,h,2:0,81,5.06
25,0,4,FC St. Pauli,a,0:0,54,4.15
26,0,2,1. FC Heidenheim,h,1:0,58,4.14
27,1,10,1. FSV Mainz 05,a,2:1,51,3.19
28,0,4,1. FC Köln,h,2:2,73,4.56
29,0,3,VfL Wolfsburg,a,1:2,61,4.07
30,0,4,RB Leipzig,h,1:3,54,3.60
31,0,7,FC Augsburg,a,1:1,61,4.36
32,0,1,Hamburger SV,h,1:2,40,2.50
33,0,3,Borussia Dortmund,a,3:2,46,2.88
34,0,2,VfB Stuttgart,h,2:2,51,3.19
