spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
6,0,,1. FC Union Berlin,h,2:0,86,5.73
8,0,3,Sport-Club Freiburg,h,2:0,80,5.00
9,0,1,FC Bayern München,a,3:0,29,1.93
10,0,3,1. FC Heidenheim,h,6:0,126,7.88
11,0,1,VfL Wolfsburg,a,1:3,77,5.13
14,0,1,1. FC Köln,h,2:0,76,4.75
15,0,2,RB Leipzig,a,1:3,82,5.12
16,0,-3,VfB Stuttgart,h,1:4,40,2.50
21,0,6,Borussia Dortmund,h,1:2,54,3.38
22,0,4,RB Leipzig,a,2:2,53,3.79
23,0,2,FC Augsburg,h,2:3,47,3.36
24,0,1,VfB Stuttgart,a,4:0,31,1.94
25,0,-1,Hamburger SV,h,1:2,38,2.38
26,0,5,TSG Hoffenheim,a,1:1,51,3.64
27,0,2,SV Werder Bremen,h,0:1,48,3.00
28,0,0,Bayer 04 Leverkusen,a,6:3,38,2.53
29,0,3,Eintracht Frankfurt,h,1:2,53,3.31
30,0,4,1. FC Union Berlin,a,1:2,63,4.85
31,0,3,Borussia M'gladbach,h,0:0,48,3.43
32,0,4,Sport-Club Freiburg,a,1:1,49,3.77
33,0,5,FC Bayern München,h,0:1,53,3.53
34,0,5,FC St. Pauli,a,1:3,59,4.54
