spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,,FC Bayern München,a,6:0,10,0.67
2,0,2,1. FC Heidenheim,h,2:0,84,5.60
3,0,,1. FSV Mainz 05,a,0:1,72,5.14
4,1,10,1. FC Köln,h,3:1,70,5.00
5,0,4,VfL Wolfsburg,a,0:1,60,3.75
6,0,5,Borussia Dortmund,a,1:1,64,4.92
7,0,3,Hamburger SV,h,2:1,65,4.06
8,1,15,FC Augsburg,a,0:6,109,6.81
9,0,5,VfB Stuttgart,h,3:1,66,4.40
10,0,4,TSG Hoffenheim,a,3:1,54,3.60
11,1,13,SV Werder Bremen,h,2:0,83,6.38
17,0,2,Sport-Club Freiburg,h,2:0,80,5.00
28,0,2,SV Werder Bremen,a,1:2,57,3.80
29,0,2,Borussia M'gladbach,h,1:0,72,4.80
30,0,0,Eintracht Frankfurt,a,1:3,75,5.36
31,0,3,1. FC Union Berlin,h,3:1,77,4.81
32,0,0,Bayer 04 Leverkusen,a,4:1,40,2.50
33,0,3,FC St. Pauli,h,2:1,64,4.57
34,1,7,Sport-Club Freiburg,a,4:1,37,2.31
