spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,13,SV Werder Bremen,h,4:1,89,5.56
2,1,6,TSG Hoffenheim,a,1:3,68,4.25
3,1,10,Bayer 04 Leverkusen,a,3:1,16,1.00
4,1,11,1. FC Union Berlin,h,3:4,57,3.56
5,1,14,Borussia M'gladbach,a,4:6,89,5.56
6,0,2,FC Bayern München,h,0:3,25,1.56
7,0,0,Sport-Club Freiburg,a,2:2,40,2.50
8,0,5,FC St. Pauli,h,2:0,65,4.64
9,0,3,1. FC Heidenheim,a,1:1,73,4.56
14,0,1,FC Augsburg,h,1:0,57,3.56
15,0,2,Hamburger SV,a,1:1,52,3.25
16,0,8,Borussia Dortmund,h,3:3,56,3.73
18,0,0,SV Werder Bremen,a,3:3,51,3.40
19,0,4,TSG Hoffenheim,h,1:3,35,2.33
27,0,2,1. FSV Mainz 05,a,2:1,51,3.19
29,0,1,VfL Wolfsburg,a,1:2,61,4.07
30,0,1,RB Leipzig,h,1:3,54,3.60
31,0,9,FC Augsburg,a,1:1,61,4.36
32,1,11,Hamburger SV,h,1:2,40,2.50
33,1,7,Borussia Dortmund,a,3:2,46,2.88
34,0,1,VfB Stuttgart,h,2:2,51,3.19
