spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
17,0,5,RB Leipzig,a,2:0,44,2.75
18,0,7,FC Augsburg,a,2:2,57,3.56
19,0,3,1. FC Köln,h,2:1,56,3.50
20,0,0,VfB Stuttgart,a,1:0,51,3.19
21,0,2,SV Werder Bremen,h,1:0,56,3.50
22,0,2,TSG Hoffenheim,a,3:0,28,1.87
23,0,3,Borussia M'gladbach,h,2:1,48,3.69
24,0,2,Eintracht Frankfurt,a,2:0,27,1.93
25,0,0,Bayer 04 Leverkusen,h,3:3,69,4.60
26,0,3,1. FC Union Berlin,h,0:1,51,3.64
27,0,1,FC St. Pauli,a,1:2,59,3.93
28,0,,FC Bayern München,h,2:3,54,3.60
29,0,1,1. FSV Mainz 05,a,0:1,53,3.31
30,0,5,1. FC Heidenheim,h,2:1,69,4.31
31,0,3,Borussia Dortmund,a,4:0,22,1.38
32,0,2,VfL Wolfsburg,h,1:1,53,3.31
33,0,-2,Hamburger SV,a,3:2,40,2.50
34,0,3,RB Leipzig,h,4:1,81,5.40
