spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
7,1,8,1. FSV Mainz 05,a,3:4,70,5.00
9,0,4,FC Bayern München,a,3:0,29,1.93
10,0,4,1. FC Heidenheim,h,6:0,126,7.88
11,0,0,VfL Wolfsburg,a,1:3,77,5.13
12,0,2,Borussia Dortmund,h,1:2,51,3.64
13,0,2,FC Augsburg,a,2:0,56,3.50
14,1,10,1. FC Köln,h,2:0,76,4.75
15,1,11,RB Leipzig,a,1:3,82,5.12
16,0,3,VfB Stuttgart,h,1:4,40,2.50
17,0,4,Hamburger SV,a,0:1,66,4.71
20,0,4,Eintracht Frankfurt,a,1:3,83,5.53
21,0,2,Borussia M'gladbach,a,1:1,52,3.47
22,0,1,FC St. Pauli,h,4:0,94,5.88
23,0,1,1. FC Union Berlin,a,1:0,48,3.00
24,0,3,1. FSV Mainz 05,h,1:1,68,4.25
25,1,11,Sport-Club Freiburg,a,3:3,65,4.33
26,0,2,FC Bayern München,h,1:1,64,4.00
27,0,1,1. FC Heidenheim,a,3:3,54,3.60
