spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,FC St. Pauli,a,3:3,49,3.77
2,0,7,1. FC Union Berlin,h,3:0,80,5.71
3,0,8,1. FC Heidenheim,a,0:2,84,5.60
5,0,4,1. FSV Mainz 05,a,0:2,68,4.25
6,1,11,RB Leipzig,h,1:1,54,3.38
9,0,3,FC Augsburg,a,0:1,63,4.20
12,0,1,Bayer 04 Leverkusen,a,1:2,59,3.69
13,0,7,TSG Hoffenheim,h,2:0,62,4.77
14,0,8,Sport-Club Freiburg,a,1:1,44,3.14
15,0,1,Borussia M'gladbach,h,2:0,78,4.88
17,0,5,SV Werder Bremen,h,3:0,83,5.19
18,0,2,FC St. Pauli,h,3:2,68,4.25
20,0,3,1. FC Heidenheim,h,3:2,67,4.47
23,0,2,RB Leipzig,a,2:2,48,3.00
24,0,0,FC Bayern München,h,2:3,51,3.19
25,0,1,1. FC Köln,a,1:2,75,5.00
26,0,,FC Augsburg,h,2:0,77,5.50
32,0,-1,Borussia M'gladbach,a,1:0,44,2.75
34,1,10,SV Werder Bremen,a,0:2,77,4.81
