spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,SV Werder Bremen,h,4:1,89,5.56
2,0,3,TSG Hoffenheim,a,1:3,68,4.25
3,0,-2,Bayer 04 Leverkusen,a,3:1,16,1.00
4,0,3,1. FC Union Berlin,h,3:4,57,3.56
5,0,1,Borussia M'gladbach,a,4:6,89,5.56
6,0,0,FC Bayern München,h,0:3,25,1.56
7,0,2,Sport-Club Freiburg,a,2:2,40,2.50
8,0,6,FC St. Pauli,h,2:0,65,4.64
9,0,6,1. FC Heidenheim,a,1:1,73,4.56
10,0,7,1. FSV Mainz 05,h,1:0,63,3.94
11,1,12,1. FC Köln,a,3:4,69,4.60
12,0,8,VfL Wolfsburg,h,1:1,55,3.67
13,0,-2,RB Leipzig,a,6:0,8,0.50
14,0,3,FC Augsburg,h,1:0,57,3.56
16,0,5,Borussia Dortmund,h,3:3,56,3.73
17,0,3,VfB Stuttgart,a,3:2,46,2.88
18,0,2,SV Werder Bremen,a,3:3,51,3.40
20,0,1,Bayer 04 Leverkusen,h,1:3,33,2.20
21,0,5,1. FC Union Berlin,a,1:1,41,2.93
27,0,4,1. FSV Mainz 05,a,2:1,51,3.19
28,0,4,1. FC Köln,h,2:2,73,4.56
29,0,4,VfL Wolfsburg,a,1:2,61,4.07
30,0,3,RB Leipzig,h,1:3,54,3.60
33,0,1,Borussia Dortmund,a,3:2,46,2.88
