spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,12,Sport-Club Freiburg,a,1:3,62,4.77
2,0,0,FC Bayern München,h,2:3,54,3.60
3,0,3,FC St. Pauli,a,2:1,54,3.38
4,0,2,1. FSV Mainz 05,h,1:4,43,2.69
5,0,2,1. FC Heidenheim,a,2:1,44,2.75
6,0,5,VfL Wolfsburg,h,3:1,65,4.64
7,0,6,1. FC Köln,a,1:1,42,2.80
8,0,-2,RB Leipzig,h,0:6,20,1.25
9,0,6,Borussia Dortmund,h,0:1,35,2.19
10,0,3,VfB Stuttgart,a,3:2,54,3.38
11,0,7,Hamburger SV,h,1:0,65,4.33
12,0,0,TSG Hoffenheim,a,3:0,46,2.88
13,0,6,Bayer 04 Leverkusen,h,2:0,74,4.93
14,0,5,Eintracht Frankfurt,a,1:0,57,3.56
31,0,,Eintracht Frankfurt,h,1:1,62,4.43
32,0,1,SV Werder Bremen,a,1:3,73,4.56
33,0,2,Borussia M'gladbach,h,3:1,65,4.06
34,0,1,1. FC Union Berlin,a,4:0,35,2.19
