spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,Bayer 04 Leverkusen,a,1:2,57,3.80
2,0,1,Eintracht Frankfurt,h,1:3,50,3.33
3,0,4,1. FC Union Berlin,a,2:4,77,5.13
5,0,3,Sport-Club Freiburg,a,1:1,50,3.12
19,1,13,FC Bayern München,a,1:2,76,5.07
20,0,6,FC St. Pauli,h,2:1,66,4.12
21,0,2,1. FSV Mainz 05,a,2:0,45,2.81
25,0,2,RB Leipzig,a,2:1,56,3.50
26,0,0,Borussia Dortmund,a,2:0,31,1.94
27,0,0,VfB Stuttgart,h,2:5,33,2.20
28,1,10,Hamburger SV,a,1:1,59,4.54
29,0,1,TSG Hoffenheim,h,2:2,47,3.36
30,0,5,Bayer 04 Leverkusen,a,1:2,72,4.80
31,0,7,Eintracht Frankfurt,h,1:1,62,4.43
32,0,2,SV Werder Bremen,a,1:3,73,4.56
