spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,Eintracht Frankfurt,a,4:1,20,1.43
2,0,1,Bayer 04 Leverkusen,h,3:3,51,3.40
3,0,1,Borussia M'gladbach,a,0:4,92,5.75
4,0,2,Sport-Club Freiburg,h,0:3,27,1.69
5,0,1,FC Bayern München,a,4:0,37,2.31
6,0,1,FC St. Pauli,h,1:0,61,4.07
7,0,3,1. FC Heidenheim,a,2:2,66,4.71
11,0,,RB Leipzig,a,2:0,58,4.14
15,0,2,FC Augsburg,a,0:0,57,3.80
16,0,3,TSG Hoffenheim,h,0:2,54,3.60
22,0,1,FC Bayern München,h,0:3,41,2.56
25,1,9,1. FC Union Berlin,a,1:4,93,6.20
26,0,2,1. FSV Mainz 05,h,0:2,46,2.88
28,0,1,RB Leipzig,h,1:2,48,3.00
34,0,3,Borussia Dortmund,h,0:2,46,3.07
