spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,3,VfL Wolfsburg,a,1:1,59,3.93
3,0,4,RB Leipzig,h,0:1,47,2.94
4,0,2,FC Augsburg,a,1:4,73,4.56
5,0,4,Borussia Dortmund,h,0:2,35,2.19
6,0,4,Hamburger SV,a,4:0,35,2.19
7,0,3,Bayer 04 Leverkusen,h,3:4,37,2.47
8,0,,VfB Stuttgart,a,2:1,33,2.36
9,0,,SV Werder Bremen,h,1:1,54,3.86
12,0,1,Sport-Club Freiburg,a,4:0,9,0.60
13,0,4,Borussia M'gladbach,h,0:1,46,3.29
14,0,3,FC Bayern München,a,2:2,58,4.46
17,0,-1,1. FC Heidenheim,h,2:1,57,3.80
18,0,,1. FC Köln,a,2:1,53,3.79
