spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
19,0,3,RB Leipzig,h,0:3,27,1.69
20,0,4,Borussia Dortmund,a,3:2,40,2.50
21,0,4,Hamburger SV,h,0:2,53,3.31
22,0,3,FC Augsburg,a,1:0,47,3.13
23,0,3,VfB Stuttgart,h,3:3,41,2.56
24,0,7,SV Werder Bremen,a,2:0,43,2.69
25,0,1,TSG Hoffenheim,h,2:4,37,2.31
26,0,5,Eintracht Frankfurt,a,1:0,38,2.38
27,1,11,Bayer 04 Leverkusen,h,3:3,57,3.56
28,0,3,Borussia M'gladbach,a,2:2,70,4.67
29,0,3,1. FC Union Berlin,h,3:1,71,4.73
30,0,4,Sport-Club Freiburg,a,2:1,45,3.00
31,0,7,FC St. Pauli,h,2:0,62,4.77
32,0,2,FC Bayern München,a,3:3,57,4.07
33,0,4,1. FC Köln,a,1:3,80,5.33
34,0,2,1. FSV Mainz 05,h,0:2,47,2.94
