spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,1. FC Union Berlin,a,2:1,54,3.60
5,0,6,1. FC Köln,a,1:2,71,4.73
6,0,5,1. FC Heidenheim,h,1:0,78,5.57
7,0,4,VfL Wolfsburg,a,0:3,94,5.88
9,0,5,RB Leipzig,a,3:1,47,3.36
20,0,,Sport-Club Freiburg,h,1:0,67,4.47
24,0,3,VfL Wolfsburg,h,4:0,101,6.73
25,0,4,1. FSV Mainz 05,a,2:2,61,3.81
26,0,4,RB Leipzig,h,1:0,72,4.50
30,0,2,FC Bayern München,a,4:2,60,3.75
31,0,4,SV Werder Bremen,h,1:1,64,4.27
32,0,2,TSG Hoffenheim,a,3:3,50,3.33
33,0,2,Bayer 04 Leverkusen,h,3:1,75,5.36
34,0,1,Eintracht Frankfurt,a,2:2,59,4.54
