spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,5,Borussia M'gladbach,h,1:0,72,4.50
3,0,-1,Sport-Club Freiburg,a,3:1,36,2.57
4,0,5,FC St. Pauli,h,2:0,83,5.93
8,0,3,1. FSV Mainz 05,h,2:1,71,4.44
10,0,6,FC Augsburg,h,3:2,63,4.50
11,0,0,Borussia Dortmund,a,3:3,54,3.86
13,0,,FC Bayern München,h,0:5,8,0.57
14,0,6,SV Werder Bremen,a,0:4,102,6.80
15,0,5,TSG Hoffenheim,h,0:0,45,3.46
16,0,2,Bayer 04 Leverkusen,a,1:4,79,5.64
17,0,1,Eintracht Frankfurt,h,3:2,73,5.21
18,0,2,1. FC Union Berlin,h,1:1,63,4.85
19,0,2,Borussia M'gladbach,a,0:3,82,5.12
20,0,5,Sport-Club Freiburg,h,1:0,67,4.47
21,0,4,FC St. Pauli,a,2:1,59,3.69
22,0,0,1. FC Köln,h,3:1,71,4.44
24,0,3,VfL Wolfsburg,h,4:0,101,6.73
25,0,1,1. FSV Mainz 05,a,2:2,61,3.81
26,0,4,RB Leipzig,h,1:0,72,4.50
27,0,4,FC Augsburg,a,2:5,85,5.31
28,0,2,Borussia Dortmund,h,0:2,43,3.07
30,0,0,FC Bayern München,a,4:2,60,3.75
34,0,,Eintracht Frankfurt,a,2:2,59,4.54
