spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
8,0,1,FC Augsburg,a,0:6,109,6.81
10,0,3,TSG Hoffenheim,a,3:1,54,3.60
11,0,,SV Werder Bremen,h,2:0,83,6.38
12,0,2,Borussia M'gladbach,a,0:0,60,4.29
13,0,1,Eintracht Frankfurt,h,6:0,102,6.80
14,1,8,1. FC Union Berlin,a,3:1,27,2.08
15,0,3,Bayer 04 Leverkusen,h,1:3,53,3.79
16,0,3,FC St. Pauli,a,1:1,47,3.36
17,0,2,Sport-Club Freiburg,h,2:0,80,5.00
18,0,1,FC Bayern München,h,1:5,31,2.07
19,0,3,1. FC Heidenheim,a,0:3,86,5.73
20,0,2,1. FSV Mainz 05,h,1:2,51,3.64
21,0,1,1. FC Köln,a,1:2,74,4.93
24,0,1,Hamburger SV,a,1:2,57,4.38
25,0,,FC Augsburg,h,2:1,68,4.53
28,0,1,SV Werder Bremen,a,1:2,57,3.80
31,0,3,1. FC Union Berlin,h,3:1,77,4.81
34,0,0,Sport-Club Freiburg,a,4:1,37,2.31
