spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,2,1. FC Union Berlin,h,3:0,80,5.71
3,0,5,1. FC Heidenheim,a,0:2,84,5.60
4,0,2,VfL Wolfsburg,h,1:0,58,4.14
5,0,2,1. FSV Mainz 05,a,0:2,68,4.25
8,0,1,1. FC Köln,h,1:0,73,4.56
9,0,2,FC Augsburg,a,0:1,63,4.20
10,1,11,Hamburger SV,a,1:1,50,3.85
11,0,4,VfB Stuttgart,h,3:3,53,4.08
12,0,2,Bayer 04 Leverkusen,a,1:2,59,3.69
13,0,2,TSG Hoffenheim,h,2:0,62,4.77
14,0,1,Sport-Club Freiburg,a,1:1,44,3.14
15,0,2,Borussia M'gladbach,h,2:0,78,4.88
16,1,7,Eintracht Frankfurt,a,3:3,60,4.00
17,0,1,SV Werder Bremen,h,3:0,83,5.19
18,0,1,FC St. Pauli,h,3:2,68,4.25
19,0,4,1. FC Union Berlin,a,0:3,77,5.92
20,0,3,1. FC Heidenheim,h,3:2,67,4.47
21,0,,VfL Wolfsburg,a,1:2,73,6.08
22,0,1,1. FSV Mainz 05,h,4:0,97,6.06
23,0,3,RB Leipzig,a,2:2,48,3.00
26,0,,FC Augsburg,h,2:0,77,5.50
27,0,1,Hamburger SV,h,3:2,48,3.20
28,0,1,VfB Stuttgart,a,0:2,55,3.93
29,0,3,Bayer 04 Leverkusen,h,0:1,51,3.19
30,0,1,TSG Hoffenheim,a,2:1,40,2.67
31,0,2,Sport-Club Freiburg,h,4:0,90,6.00
32,0,1,Borussia M'gladbach,a,1:0,44,2.75
34,0,1,SV Werder Bremen,a,0:2,77,4.81
