spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,1. FSV Mainz 05,a,0:1,68,4.25
2,0,0,Sport-Club Freiburg,h,4:1,73,4.56
3,0,2,VfL Wolfsburg,a,3:3,54,3.38
4,0,1,RB Leipzig,a,3:1,52,3.25
5,0,1,VfB Stuttgart,h,1:2,48,3.00
6,0,6,TSG Hoffenheim,a,0:1,65,4.06
7,0,2,FC Augsburg,h,1:1,54,3.38
8,0,1,Borussia Dortmund,a,1:0,45,2.81
9,0,2,Hamburger SV,h,4:1,87,5.44
10,0,5,Borussia M'gladbach,a,3:1,49,3.06
11,0,-4,Eintracht Frankfurt,h,3:4,49,3.06
22,0,2,VfB Stuttgart,a,3:1,28,1.87
23,0,1,TSG Hoffenheim,h,2:2,59,4.21
32,0,0,1. FC Union Berlin,a,2:2,46,2.88
33,0,2,1. FC Heidenheim,h,1:3,31,2.21
34,0,-2,FC Bayern München,a,5:1,10,0.67
