spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,Borussia M'gladbach,a,0:0,50,3.57
2,0,3,FC St. Pauli,h,0:2,43,2.69
3,0,0,FC Bayern München,a,5:0,18,1.12
4,0,7,1. FC Heidenheim,h,2:1,72,4.80
5,0,2,1. FC Union Berlin,a,0:0,60,4.00
6,0,2,1. FSV Mainz 05,h,4:0,93,5.81
7,0,8,RB Leipzig,a,2:1,55,3.44
8,0,8,VfL Wolfsburg,h,0:1,56,4.00
9,0,2,1. FC Köln,a,4:1,18,1.12
10,0,5,Borussia Dortmund,h,1:1,53,3.79
11,0,4,FC Augsburg,a,1:0,50,3.57
12,0,6,VfB Stuttgart,h,2:1,51,3.40
13,0,5,SV Werder Bremen,h,3:2,75,5.00
14,0,4,TSG Hoffenheim,a,4:1,33,2.20
15,0,6,Eintracht Frankfurt,h,1:1,53,3.79
16,0,7,Sport-Club Freiburg,a,2:1,43,2.69
18,0,7,Borussia M'gladbach,h,0:0,70,4.38
19,0,8,FC St. Pauli,a,0:0,55,3.44
20,0,4,FC Bayern München,h,2:2,61,3.81
21,0,2,1. FC Heidenheim,a,0:2,69,4.31
22,0,3,1. FC Union Berlin,h,3:2,56,3.73
23,0,4,1. FSV Mainz 05,a,1:1,53,3.79
24,0,3,RB Leipzig,h,1:2,42,2.80
25,0,4,VfL Wolfsburg,a,1:2,55,3.67
26,0,4,1. FC Köln,h,1:1,52,3.47
27,0,2,Borussia Dortmund,a,3:2,47,3.36
28,0,-3,FC Augsburg,h,1:1,45,3.21
30,0,2,SV Werder Bremen,a,3:1,29,1.93
34,0,1,Bayer 04 Leverkusen,a,1:1,64,4.00
