spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,Borussia M'gladbach,a,0:0,50,3.57
2,0,3,FC St. Pauli,h,0:2,43,2.69
4,0,5,1. FC Heidenheim,h,2:1,72,4.80
5,0,3,1. FC Union Berlin,a,0:0,60,4.00
6,1,10,1. FSV Mainz 05,h,4:0,93,5.81
7,0,7,RB Leipzig,a,2:1,55,3.44
8,0,8,VfL Wolfsburg,h,0:1,56,4.00
9,1,12,1. FC Köln,a,4:1,18,1.12
10,0,2,Borussia Dortmund,h,1:1,53,3.79
11,0,5,FC Augsburg,a,1:0,50,3.57
13,0,9,SV Werder Bremen,h,3:2,75,5.00
16,0,2,Sport-Club Freiburg,a,2:1,43,2.69
17,0,1,Bayer 04 Leverkusen,h,0:1,38,2.38
18,0,4,Borussia M'gladbach,h,0:0,70,4.38
19,0,2,FC St. Pauli,a,0:0,55,3.44
22,0,1,1. FC Union Berlin,h,3:2,56,3.73
24,0,2,RB Leipzig,h,1:2,42,2.80
25,0,11,VfL Wolfsburg,a,1:2,55,3.67
26,0,3,1. FC Köln,h,1:1,52,3.47
27,0,,Borussia Dortmund,a,3:2,47,3.36
