spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
13,0,3,VfL Wolfsburg,a,3:1,46,2.88
15,0,1,1. FC Köln,a,0:1,56,3.50
16,0,3,1. FSV Mainz 05,h,2:2,59,3.69
17,0,2,FC Augsburg,a,1:1,56,3.50
18,0,1,VfB Stuttgart,a,1:1,58,4.14
19,0,2,Borussia Dortmund,h,0:3,32,2.13
20,0,1,TSG Hoffenheim,a,3:1,35,2.19
21,0,3,Eintracht Frankfurt,h,1:1,42,2.80
22,0,4,Hamburger SV,a,3:2,48,3.00
24,0,1,Borussia M'gladbach,a,1:0,39,2.60
26,0,3,Sport-Club Freiburg,a,0:1,59,3.93
27,0,2,FC Bayern München,a,4:0,19,1.19
29,0,2,1. FC Heidenheim,a,3:1,29,1.81
30,0,,VfL Wolfsburg,h,1:2,52,3.71
31,0,2,RB Leipzig,a,3:1,41,2.56
32,1,8,1. FC Köln,h,2:2,57,3.56
33,0,2,1. FSV Mainz 05,a,1:3,80,5.00
34,0,5,FC Augsburg,h,4:0,88,5.87
