spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,2,FC Bayern München,a,5:0,18,1.12
4,0,1,1. FC Heidenheim,h,2:1,72,4.80
6,0,3,1. FSV Mainz 05,h,4:0,93,5.81
7,0,3,RB Leipzig,a,2:1,55,3.44
8,0,2,VfL Wolfsburg,h,0:1,56,4.00
10,0,,Borussia Dortmund,h,1:1,53,3.79
12,0,4,VfB Stuttgart,h,2:1,51,3.40
13,0,,SV Werder Bremen,h,3:2,75,5.00
14,0,4,TSG Hoffenheim,a,4:1,33,2.20
15,0,3,Eintracht Frankfurt,h,1:1,53,3.79
19,0,1,FC St. Pauli,a,0:0,55,3.44
26,0,3,1. FC Köln,h,1:1,52,3.47
27,0,2,Borussia Dortmund,a,3:2,47,3.36
29,0,2,VfB Stuttgart,a,4:0,31,2.07
33,1,8,Sport-Club Freiburg,h,3:2,67,4.79
34,0,2,Bayer 04 Leverkusen,a,1:1,64,4.00
