spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,3,Borussia M'gladbach,h,1:0,72,4.50
3,0,,Sport-Club Freiburg,a,3:1,36,2.57
4,0,5,FC St. Pauli,h,2:0,83,5.93
6,0,6,1. FC Heidenheim,h,1:0,78,5.57
7,0,4,VfL Wolfsburg,a,0:3,94,5.88
8,0,1,1. FSV Mainz 05,h,2:1,71,4.44
10,0,-1,FC Augsburg,h,3:2,63,4.50
11,0,0,Borussia Dortmund,a,3:3,54,3.86
13,0,-12,FC Bayern München,h,0:5,8,0.57
16,0,3,Bayer 04 Leverkusen,a,1:4,79,5.64
17,0,,Eintracht Frankfurt,h,3:2,73,5.21
18,0,,1. FC Union Berlin,h,1:1,63,4.85
21,0,2,FC St. Pauli,a,2:1,59,3.69
22,0,4,1. FC Köln,h,3:1,71,4.44
23,0,2,1. FC Heidenheim,a,3:3,61,3.81
24,0,2,VfL Wolfsburg,h,4:0,101,6.73
25,0,3,1. FSV Mainz 05,a,2:2,61,3.81
26,0,2,RB Leipzig,h,1:0,72,4.50
27,0,2,FC Augsburg,a,2:5,85,5.31
28,0,5,Borussia Dortmund,h,0:2,43,3.07
29,0,2,Hamburger SV,h,4:0,98,7.00
31,0,4,SV Werder Bremen,h,1:1,64,4.27
32,0,2,TSG Hoffenheim,a,3:3,50,3.33
33,0,,Bayer 04 Leverkusen,h,3:1,75,5.36
