spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,RB Leipzig,h,6:0,108,7.20
3,0,5,Hamburger SV,h,5:0,106,6.62
4,0,1,TSG Hoffenheim,a,1:4,76,4.75
5,0,2,SV Werder Bremen,h,4:0,105,6.56
6,0,,Eintracht Frankfurt,a,0:3,71,5.07
8,1,10,Borussia M'gladbach,a,0:3,97,6.06
9,0,5,Bayer 04 Leverkusen,h,3:0,80,5.00
10,0,3,1. FC Union Berlin,a,2:2,58,4.14
11,1,12,Sport-Club Freiburg,h,6:2,98,6.12
12,0,2,FC St. Pauli,h,3:1,91,5.69
13,0,2,VfB Stuttgart,a,0:5,96,6.00
14,1,12,1. FSV Mainz 05,h,2:2,67,4.47
15,0,4,1. FC Heidenheim,a,0:4,104,7.43
16,0,1,VfL Wolfsburg,h,8:1,107,6.69
17,1,10,1. FC Köln,a,1:3,75,5.00
18,0,3,RB Leipzig,a,1:5,92,6.13
19,0,0,FC Augsburg,h,1:2,59,3.69
20,0,1,Hamburger SV,a,2:2,59,4.21
21,0,5,TSG Hoffenheim,h,5:1,104,6.50
22,0,5,SV Werder Bremen,a,0:3,82,5.47
25,0,7,Borussia M'gladbach,h,4:1,99,6.19
26,0,2,Bayer 04 Leverkusen,a,1:1,48,3.69
27,0,0,1. FC Union Berlin,h,4:0,89,6.36
28,1,9,Sport-Club Freiburg,a,2:3,72,4.50
33,0,4,VfL Wolfsburg,a,0:1,85,5.31
34,0,6,1. FC Köln,h,5:1,92,5.75
