spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,11,TSG Hoffenheim,h,1:2,49,3.50
2,0,3,SV Werder Bremen,a,3:3,43,2.87
3,0,3,Eintracht Frankfurt,h,3:1,65,4.33
4,0,4,Borussia M'gladbach,h,1:1,65,4.06
5,0,1,FC St. Pauli,a,1:2,59,3.69
6,0,7,1. FC Union Berlin,h,2:0,86,5.73
8,0,5,Sport-Club Freiburg,h,2:0,80,5.00
9,0,1,FC Bayern München,a,3:0,29,1.93
11,0,2,VfL Wolfsburg,a,1:3,77,5.13
12,0,,Borussia Dortmund,h,1:2,51,3.64
13,0,3,FC Augsburg,a,2:0,56,3.50
14,0,5,1. FC Köln,h,2:0,76,4.75
16,0,3,VfB Stuttgart,h,1:4,40,2.50
17,0,5,Hamburger SV,a,0:1,66,4.71
18,0,5,TSG Hoffenheim,a,1:0,57,3.56
19,0,7,SV Werder Bremen,h,1:0,76,5.07
20,0,5,Eintracht Frankfurt,a,1:3,83,5.53
21,0,2,Borussia M'gladbach,a,1:1,52,3.47
22,1,14,FC St. Pauli,h,4:0,94,5.88
24,1,14,1. FSV Mainz 05,h,1:1,68,4.25
25,0,3,Sport-Club Freiburg,a,3:3,65,4.33
26,0,1,FC Bayern München,h,1:1,64,4.00
27,0,1,1. FC Heidenheim,a,3:3,54,3.60
30,0,3,FC Augsburg,h,1:2,74,4.93
31,0,2,1. FC Köln,a,1:2,66,4.12
32,0,1,RB Leipzig,h,4:1,89,5.93
33,0,1,VfB Stuttgart,a,3:1,45,3.21
34,1,14,Hamburger SV,h,1:1,80,5.33
