spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,Borussia M'gladbach,a,0:0,50,3.57
2,0,2,FC St. Pauli,h,0:2,43,2.69
3,0,1,FC Bayern München,a,5:0,18,1.12
5,0,2,1. FC Union Berlin,a,0:0,60,4.00
6,0,7,1. FSV Mainz 05,h,4:0,93,5.81
7,0,3,RB Leipzig,a,2:1,55,3.44
8,0,2,VfL Wolfsburg,h,0:1,56,4.00
10,0,6,Borussia Dortmund,h,1:1,53,3.79
11,0,5,FC Augsburg,a,1:0,50,3.57
12,0,3,VfB Stuttgart,h,2:1,51,3.40
13,0,3,SV Werder Bremen,h,3:2,75,5.00
14,0,0,TSG Hoffenheim,a,4:1,33,2.20
15,0,4,Eintracht Frankfurt,h,1:1,53,3.79
16,0,5,Sport-Club Freiburg,a,2:1,43,2.69
18,0,5,Borussia M'gladbach,h,0:0,70,4.38
19,0,6,FC St. Pauli,a,0:0,55,3.44
20,0,5,FC Bayern München,h,2:2,61,3.81
22,1,10,1. FC Union Berlin,h,3:2,56,3.73
23,0,3,1. FSV Mainz 05,a,1:1,53,3.79
24,0,1,RB Leipzig,h,1:2,42,2.80
29,0,1,VfB Stuttgart,a,4:0,31,2.07
30,0,3,SV Werder Bremen,a,3:1,29,1.93
31,0,3,TSG Hoffenheim,h,1:2,51,3.64
32,0,2,Eintracht Frankfurt,a,1:2,56,3.50
33,0,4,Sport-Club Freiburg,h,3:2,67,4.79
34,0,7,Bayer 04 Leverkusen,a,1:1,64,4.00
