spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,TSG Hoffenheim,h,1:2,49,3.50
2,0,4,SV Werder Bremen,a,3:3,43,2.87
3,0,1,Eintracht Frankfurt,h,3:1,65,4.33
4,0,1,Borussia M'gladbach,h,1:1,65,4.06
5,0,2,FC St. Pauli,a,1:2,59,3.69
6,1,9,1. FC Union Berlin,h,2:0,86,5.73
7,1,8,1. FSV Mainz 05,a,3:4,70,5.00
8,0,4,Sport-Club Freiburg,h,2:0,80,5.00
9,0,4,FC Bayern München,a,3:0,29,1.93
11,0,2,VfL Wolfsburg,a,1:3,77,5.13
12,1,8,Borussia Dortmund,h,1:2,51,3.64
13,0,3,FC Augsburg,a,2:0,56,3.50
14,0,2,1. FC Köln,h,2:0,76,4.75
15,0,2,RB Leipzig,a,1:3,82,5.12
17,1,11,Hamburger SV,a,0:1,66,4.71
18,0,3,TSG Hoffenheim,a,1:0,57,3.56
20,0,3,Eintracht Frankfurt,a,1:3,83,5.53
21,0,2,Borussia M'gladbach,a,1:1,52,3.47
22,0,3,FC St. Pauli,h,4:0,94,5.88
23,0,2,1. FC Union Berlin,a,1:0,48,3.00
24,0,4,1. FSV Mainz 05,h,1:1,68,4.25
25,1,10,Sport-Club Freiburg,a,3:3,65,4.33
26,0,3,FC Bayern München,h,1:1,64,4.00
27,0,,1. FC Heidenheim,a,3:3,54,3.60
28,0,3,VfL Wolfsburg,h,6:3,87,6.21
29,0,1,Borussia Dortmund,a,0:1,63,4.50
30,0,2,FC Augsburg,h,1:2,74,4.93
32,0,,RB Leipzig,h,4:1,89,5.93
33,0,7,VfB Stuttgart,a,3:1,45,3.21
