spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,FC Bayern München,a,6:0,10,0.67
2,0,3,1. FC Heidenheim,h,2:0,84,5.60
3,1,7,1. FSV Mainz 05,a,0:1,72,5.14
4,0,4,1. FC Köln,h,3:1,70,5.00
5,1,13,VfL Wolfsburg,a,0:1,60,3.75
6,0,5,Borussia Dortmund,a,1:1,64,4.92
7,0,2,Hamburger SV,h,2:1,65,4.06
9,0,2,VfB Stuttgart,h,3:1,66,4.40
10,0,3,TSG Hoffenheim,a,3:1,54,3.60
11,0,3,SV Werder Bremen,h,2:0,83,6.38
12,0,2,Borussia M'gladbach,a,0:0,60,4.29
14,0,2,1. FC Union Berlin,a,3:1,27,2.08
20,0,,1. FSV Mainz 05,h,1:2,51,3.64
22,0,3,VfL Wolfsburg,h,2:2,74,4.62
25,0,2,FC Augsburg,h,2:1,68,4.53
26,0,2,VfB Stuttgart,a,1:0,35,2.33
29,0,3,Borussia M'gladbach,h,1:0,72,4.80
30,0,,Eintracht Frankfurt,a,1:3,75,5.36
31,0,1,1. FC Union Berlin,h,3:1,77,4.81
34,0,3,Sport-Club Freiburg,a,4:1,37,2.31
