spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,-1,Eintracht Frankfurt,a,4:1,20,1.43
2,0,5,Bayer 04 Leverkusen,h,3:3,51,3.40
3,1,12,Borussia M'gladbach,a,0:4,92,5.75
5,0,2,FC Bayern München,a,4:0,37,2.31
6,1,8,FC St. Pauli,h,1:0,61,4.07
7,0,3,1. FC Heidenheim,a,2:2,66,4.71
8,0,5,1. FC Union Berlin,h,1:0,67,4.19
9,0,1,1. FSV Mainz 05,a,1:1,49,3.27
10,1,9,VfL Wolfsburg,h,2:1,76,5.43
11,0,2,RB Leipzig,a,2:0,58,4.14
12,0,1,1. FC Köln,h,1:1,48,3.43
13,0,,Hamburger SV,a,3:2,34,2.62
14,0,2,VfB Stuttgart,h,0:4,23,1.44
16,0,6,TSG Hoffenheim,h,0:2,54,3.60
17,0,3,Borussia Dortmund,a,3:0,24,1.60
18,0,4,Eintracht Frankfurt,h,3:3,54,4.15
20,0,7,Borussia M'gladbach,h,1:1,68,4.53
21,0,3,Sport-Club Freiburg,a,1:0,49,3.27
22,0,3,FC Bayern München,h,0:3,41,2.56
23,0,1,FC St. Pauli,a,2:1,38,2.71
27,0,2,VfL Wolfsburg,a,0:1,52,3.71
28,0,1,RB Leipzig,h,1:2,48,3.00
31,0,2,VfB Stuttgart,a,1:1,54,3.86
32,0,2,FC Augsburg,h,1:3,51,3.40
33,0,2,TSG Hoffenheim,a,1:0,40,2.67
34,0,3,Borussia Dortmund,h,0:2,46,3.07
