spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,5,Borussia M'gladbach,a,0:0,50,3.57
2,0,3,FC St. Pauli,h,0:2,43,2.69
3,0,0,FC Bayern München,a,5:0,18,1.12
4,0,1,1. FC Heidenheim,h,2:1,72,4.80
5,0,3,1. FC Union Berlin,a,0:0,60,4.00
17,0,2,Bayer 04 Leverkusen,h,0:1,38,2.38
20,0,1,FC Bayern München,h,2:2,61,3.81
21,0,3,1. FC Heidenheim,a,0:2,69,4.31
23,0,5,1. FSV Mainz 05,a,1:1,53,3.79
24,0,2,RB Leipzig,h,1:2,42,2.80
25,0,3,VfL Wolfsburg,a,1:2,55,3.67
26,0,5,1. FC Köln,h,1:1,52,3.47
27,0,0,Borussia Dortmund,a,3:2,47,3.36
28,0,3,FC Augsburg,h,1:1,45,3.21
29,0,-1,VfB Stuttgart,a,4:0,31,2.07
30,0,3,SV Werder Bremen,a,3:1,29,1.93
31,0,4,TSG Hoffenheim,h,1:2,51,3.64
32,0,4,Eintracht Frankfurt,a,1:2,56,3.50
33,0,2,Sport-Club Freiburg,h,3:2,67,4.79
34,0,5,Bayer 04 Leverkusen,a,1:1,64,4.00
