spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,4,Sport-Club Freiburg,h,4:1,73,4.56
3,0,0,VfL Wolfsburg,a,3:3,54,3.38
12,0,4,SV Werder Bremen,a,1:1,55,3.44
13,0,4,FC St. Pauli,h,1:1,43,2.87
14,0,2,Bayer 04 Leverkusen,a,2:0,32,2.00
15,0,-1,1. FC Union Berlin,h,0:1,44,2.93
19,0,2,Sport-Club Freiburg,a,2:1,44,3.14
20,0,,VfL Wolfsburg,h,1:0,61,4.36
23,0,4,TSG Hoffenheim,h,2:2,59,4.21
24,0,2,FC Augsburg,a,2:0,42,2.62
25,0,1,Borussia Dortmund,h,1:2,35,2.69
26,0,5,Hamburger SV,a,1:1,46,2.88
27,0,3,Borussia M'gladbach,h,3:3,55,3.44
28,0,2,Eintracht Frankfurt,a,2:2,64,4.00
