spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
14,0,2,VfL Wolfsburg,h,1:3,42,2.80
15,0,3,Borussia Dortmund,a,2:0,33,2.20
16,0,1,FC Augsburg,h,4:0,81,5.06
17,0,1,TSG Hoffenheim,a,5:1,7,0.44
19,0,1,VfB Stuttgart,h,0:3,20,1.43
22,0,3,Eintracht Frankfurt,a,3:0,38,2.53
23,0,2,Sport-Club Freiburg,a,2:1,50,3.33
24,0,4,1. FC Union Berlin,h,1:0,77,5.50
25,1,10,FC Bayern München,a,4:1,26,1.73
26,0,2,FC St. Pauli,h,2:0,63,4.20
28,1,9,1. FC Heidenheim,h,2:2,62,3.88
29,0,1,RB Leipzig,a,1:0,56,3.50
32,0,1,Borussia Dortmund,h,1:0,56,4.00
33,0,2,FC Augsburg,a,3:1,48,3.20
34,0,4,TSG Hoffenheim,h,4:0,84,5.60
