spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,5,Eintracht Frankfurt,h,3:1,65,4.33
4,0,2,Borussia M'gladbach,h,1:1,65,4.06
5,0,1,FC St. Pauli,a,1:2,59,3.69
6,0,7,1. FC Union Berlin,h,2:0,86,5.73
15,0,2,RB Leipzig,a,1:3,82,5.12
16,0,2,VfB Stuttgart,h,1:4,40,2.50
19,1,11,SV Werder Bremen,h,1:0,76,5.07
22,0,6,FC St. Pauli,h,4:0,94,5.88
23,0,3,1. FC Union Berlin,a,1:0,48,3.00
29,0,2,Borussia Dortmund,a,0:1,63,4.50
30,0,2,FC Augsburg,h,1:2,74,4.93
34,0,3,Hamburger SV,h,1:1,80,5.33
