spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,3,Sport-Club Freiburg,a,3:1,36,2.57
4,0,3,FC St. Pauli,h,2:0,83,5.93
5,0,3,1. FC Köln,a,1:2,71,4.73
6,0,2,1. FC Heidenheim,h,1:0,78,5.57
7,0,2,VfL Wolfsburg,a,0:3,94,5.88
9,0,,RB Leipzig,a,3:1,47,3.36
10,0,0,FC Augsburg,h,3:2,63,4.50
12,0,4,Hamburger SV,a,2:1,50,3.12
14,0,3,SV Werder Bremen,a,0:4,102,6.80
17,0,2,Eintracht Frankfurt,h,3:2,73,5.21
19,0,5,Borussia M'gladbach,a,0:3,82,5.12
21,0,0,FC St. Pauli,a,2:1,59,3.69
30,0,3,FC Bayern München,a,4:2,60,3.75
31,0,2,SV Werder Bremen,h,1:1,64,4.27
