spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,0,VfL Wolfsburg,a,3:3,54,3.38
10,0,3,Borussia M'gladbach,a,3:1,49,3.06
11,0,2,Eintracht Frankfurt,h,3:4,49,3.06
12,0,2,SV Werder Bremen,a,1:1,55,3.44
16,0,9,1. FC Heidenheim,a,2:2,65,4.33
18,0,9,1. FSV Mainz 05,h,2:1,73,4.56
19,0,6,Sport-Club Freiburg,a,2:1,44,3.14
20,0,4,VfL Wolfsburg,h,1:0,61,4.36
28,1,10,Eintracht Frankfurt,a,2:2,64,4.00
29,0,3,SV Werder Bremen,h,3:1,64,4.27
30,0,3,FC St. Pauli,a,1:1,62,3.88
31,0,2,Bayer 04 Leverkusen,h,1:2,45,2.81
33,0,2,1. FC Heidenheim,h,1:3,31,2.21
34,0,1,FC Bayern München,a,5:1,10,0.67
