spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,0,Eintracht Frankfurt,h,3:1,65,4.33
5,0,5,FC St. Pauli,a,1:2,59,3.69
6,0,2,1. FC Union Berlin,h,2:0,86,5.73
7,0,7,1. FSV Mainz 05,a,3:4,70,5.00
8,0,3,Sport-Club Freiburg,h,2:0,80,5.00
15,0,4,RB Leipzig,a,1:3,82,5.12
16,0,3,VfB Stuttgart,h,1:4,40,2.50
17,0,1,Hamburger SV,a,0:1,66,4.71
18,0,4,TSG Hoffenheim,a,1:0,57,3.56
19,0,2,SV Werder Bremen,h,1:0,76,5.07
20,0,3,Eintracht Frankfurt,a,1:3,83,5.53
21,0,4,Borussia M'gladbach,a,1:1,52,3.47
23,0,3,1. FC Union Berlin,a,1:0,48,3.00
24,0,5,1. FSV Mainz 05,h,1:1,68,4.25
25,0,3,Sport-Club Freiburg,a,3:3,65,4.33
26,0,6,FC Bayern München,h,1:1,64,4.00
27,0,1,1. FC Heidenheim,a,3:3,54,3.60
28,0,2,VfL Wolfsburg,h,6:3,87,6.21
31,0,4,1. FC Köln,a,1:2,66,4.12
32,0,2,RB Leipzig,h,4:1,89,5.93
