spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
12,0,2,Sport-Club Freiburg,a,4:0,9,0.60
14,1,13,FC Bayern München,a,2:2,58,4.46
15,0,5,FC St. Pauli,h,0:0,51,3.92
17,0,2,1. FC Heidenheim,h,2:1,57,3.80
18,0,6,1. FC Köln,a,2:1,53,3.79
20,0,3,RB Leipzig,a,1:2,66,4.12
21,0,2,FC Augsburg,h,2:0,65,4.33
22,0,2,Borussia Dortmund,a,4:0,20,1.25
23,0,2,Hamburger SV,h,1:1,56,4.00
24,0,2,Bayer 04 Leverkusen,a,1:1,52,3.71
26,0,2,SV Werder Bremen,a,0:2,70,5.00
28,0,6,TSG Hoffenheim,a,1:2,57,3.80
32,0,3,FC St. Pauli,a,1:2,68,4.25
33,0,1,1. FC Union Berlin,h,1:3,40,2.50
34,0,8,1. FC Heidenheim,a,0:2,78,4.88
