spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
15,1,9,RB Leipzig,a,1:3,82,5.12
17,0,4,Hamburger SV,a,0:1,66,4.71
25,0,0,Sport-Club Freiburg,a,3:3,65,4.33
26,0,6,FC Bayern München,h,1:1,64,4.00
27,0,1,1. FC Heidenheim,a,3:3,54,3.60
28,0,2,VfL Wolfsburg,h,6:3,87,6.21
29,0,2,Borussia Dortmund,a,0:1,63,4.50
30,0,0,FC Augsburg,h,1:2,74,4.93
31,0,4,1. FC Köln,a,1:2,66,4.12
32,0,3,RB Leipzig,h,4:1,89,5.93
33,0,2,VfB Stuttgart,a,3:1,45,3.21
34,0,4,Hamburger SV,h,1:1,80,5.33
