spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
17,1,8,VfB Stuttgart,a,3:2,46,2.88
18,0,4,SV Werder Bremen,a,3:3,51,3.40
19,0,1,TSG Hoffenheim,h,1:3,35,2.33
20,0,2,Bayer 04 Leverkusen,h,1:3,33,2.20
21,0,2,1. FC Union Berlin,a,1:1,41,2.93
22,1,9,Borussia M'gladbach,h,3:0,87,5.44
23,0,0,FC Bayern München,a,3:2,45,2.81
24,0,2,Sport-Club Freiburg,h,2:0,81,5.06
25,0,2,FC St. Pauli,a,0:0,54,4.15
26,0,5,1. FC Heidenheim,h,1:0,58,4.14
27,0,1,1. FSV Mainz 05,a,2:1,51,3.19
28,0,3,1. FC Köln,h,2:2,73,4.56
29,0,3,VfL Wolfsburg,a,1:2,61,4.07
30,0,5,RB Leipzig,h,1:3,54,3.60
31,0,3,FC Augsburg,a,1:1,61,4.36
32,0,2,Hamburger SV,h,1:2,40,2.50
33,0,3,Borussia Dortmund,a,3:2,46,2.88
