spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
21,0,5,1. FSV Mainz 05,a,2:0,45,2.81
22,0,2,1. FC Heidenheim,h,1:0,65,4.33
23,1,10,VfL Wolfsburg,a,2:3,65,4.06
24,1,9,1. FC Köln,h,2:0,72,4.50
25,0,2,RB Leipzig,a,2:1,56,3.50
26,0,2,Borussia Dortmund,a,2:0,31,1.94
27,0,1,VfB Stuttgart,h,2:5,33,2.20
28,0,2,Hamburger SV,a,1:1,59,4.54
29,0,1,TSG Hoffenheim,h,2:2,47,3.36
30,0,3,Bayer 04 Leverkusen,a,1:2,72,4.80
31,0,1,Eintracht Frankfurt,h,1:1,62,4.43
32,0,2,SV Werder Bremen,a,1:3,73,4.56
33,0,2,Borussia M'gladbach,h,3:1,65,4.06
34,0,2,1. FC Union Berlin,a,4:0,35,2.19
