spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
21,0,2,Bayer 04 Leverkusen,h,1:1,52,3.71
22,0,0,Eintracht Frankfurt,a,3:0,38,2.53
23,0,3,Sport-Club Freiburg,a,2:1,50,3.33
24,0,5,1. FC Union Berlin,h,1:0,77,5.50
25,0,3,FC Bayern München,a,4:1,26,1.73
26,0,2,FC St. Pauli,h,2:0,63,4.20
27,0,3,1. FC Köln,a,3:3,45,3.46
28,0,1,1. FC Heidenheim,h,2:2,62,3.88
29,0,2,RB Leipzig,a,1:0,56,3.50
30,0,5,1. FSV Mainz 05,h,1:1,51,3.40
32,0,3,Borussia Dortmund,h,1:0,56,4.00
33,0,2,FC Augsburg,a,3:1,48,3.20
34,1,10,TSG Hoffenheim,h,4:0,84,5.60
