spieler_id,name,verein,news_headline,news_link,news_count_7d,transfer_news_flag,stammplatz_news_flag
30755,Neuer,1. FC Bayern München,Urbig soll Neuer im DFB-Pokal vertreten,https://www.ligainsider.de/manuel-neuer_114/urbig-soll-neuer-im-dfb-pokal-vertreten-417280/,0,0,0
31216,Ulreich,1. FC Bayern München,Ulreich hängt ein Jahr beim FC Bayern dran,https://www.ligainsider.de/sven-ulreich_205/ulreich-haengt-ein-jahr-beim-fc-bayern-dran-413396/,0,0,0
33494,Urbig,1. FC Bayern München,Urbig startet im Pokal gegen Osnabrück,https://www.ligainsider.de/jonas-urbig_26101/urbig-startet-im-pokal-gegen-osnabrueck-417366/,0,0,0
34205,Kiala,1. FC Bayern München,,,0,0,0
33975,Brown,1. FC Bayern München,Kompany begründet offensive Rotation,https://www.ligainsider.de/harry-kane_4828/kompany-begruendet-offensive-rotation-417709/,0,0,0
33894,Boey,1. FC Bayern München,Boey bleibt in München: Kompany ordnet Situation ein,https://www.ligainsider.de/sacha-boey_23034/boey-bleibt-in-muenchen-kompany-ordnet-situation-ein-417996/,0,0,0
33823,Kim,1. FC Bayern München,Kim zurück im Teamtraining,https://www.ligainsider.de/minjae-kim_27022/kim-zurueck-im-teamtraining-416362/,0,0,0
33796,Buchmann,1. FC Bayern München,,,0,0,0
33496,Itō,1. FC Bayern München,Freund nimmt Itō-Gerücht Wind aus den Segeln,https://www.ligainsider.de/hiroki-ito_26128/freund-nimmt-it-geruecht-wind-aus-den-segeln-417365/,0,0,0
33386,Stanišić,1. FC Bayern München,Stanišić trainiert wieder mit dem Team,https://www.ligainsider.de/josip-stanisic_20102/stanisi-trainiert-wieder-mit-dem-team-416364/,0,0,0
33021,Davies,1. FC Bayern München,Flit­ter­wo­chen statt Nationalelf für Bayerns Davies,https://www.ligainsider.de/alphonso-davies_20098/flitterwochen-statt-nationalelf-fuer-bayerns-davies-418168/,1,0,0
32800,Laimer,1. FC Bayern München,Laimer fällt gegen Union verletzt aus,https://www.ligainsider.de/konrad-laimer_6324/laimer-faellt-gegen-union-verletzt-aus-418288/,1,0,0
32720,Upamecano,1. FC Bayern München,FC Bayern: Spätstart für WM-Trio,https://www.ligainsider.de/harry-kane_4828/fc-bayern-spaetstart-fuer-wm-trio-416030/,0,0,0
32157,Tah,1. FC Bayern München,Tah fehlt Bayern gegen Union Berlin,https://www.ligainsider.de/jonathan-tah_2385/tah-fehlt-bayern-gegen-union-berlin-410384/,0,0,0
33236,Musiala,1. FC Bayern München,Musiala belohnt sich bei Star­telf-Come­back,https://www.ligainsider.de/jamal-musiala_24149/musiala-belohnt-sich-bei-startelf-comeback-417945/,0,0,0
34207,Santos Daiber,1. FC Bayern München,Santos fällt monatelang aus,https://www.ligainsider.de/david-santos-daiber_38573/santos-faellt-monatelang-aus-412835/,0,0,0
34206,Karl,1. FC Bayern München,Karl feiert Comeback nach langer Ver­let­zungspau­se,https://www.ligainsider.de/lennart-karl_38411/karl-feiert-comeback-nach-langer-verletzungspause-417123/,0,0,0
32445,Kimmich,1. FC Bayern München,Bayern dreht Test gegen Heidenheim – Sorge um Musiala,https://www.ligainsider.de/tom-bischof_26133/bayern-dreht-test-gegen-heidenheim-ndash-sorge-um-musiala-416452/,0,0,0
34357,Osmani,1. FC Bayern München,,,0,0,0
33854,Pavlović,1. FC Bayern München,Pav­lović-Experi­ment gegen FCH misslingt,https://www.ligainsider.de/aleksandar-pavlovic_35918/pavlovi-experiment-gegen-fch-misslingt-412753/,0,0,0
34466,Saibari,1. FC Bayern München,Kompany begründet offensive Rotation,https://www.ligainsider.de/harry-kane_4828/kompany-begruendet-offensive-rotation-417709/,0,0,0
33504,Bischof,1. FC Bayern München,Kompany: „Bischof hat unglaub­li­ches Gefühl für Tore“,https://www.ligainsider.de/tom-bischof_26133/kompany-bdquo-bischof-hat-unglaubliches-gefuehl-fuer-tore-ldquo-417522/,0,0,0
34321,Sapoko Ndiaye,1. FC Bayern München,Offiziell: FC Bayern verpflichtet Ndiaye fest,https://www.ligainsider.de/bara-sapoko-ndiaye_38779/offiziell-fc-bayern-verpflichtet-ndiaye-fest-416064/,0,0,0
34350,Cardozo,1. FC Bayern München,,,0,0,0
34254,Luis Díaz,1. FC Bayern München,Díaz fehlt bei der Natio­nal­mannschaft,https://www.ligainsider.de/luis-diaz_22566/diaz-fehlt-bei-der-nationalmannschaft-418323/,2,0,0
34014,Olise,1. FC Bayern München,Olise überzeugt auch im Zentrum,https://www.ligainsider.de/michael-olise_37170/olise-ueberzeugt-auch-im-zentrum-418086/,1,0,0
32696,Gnabry,1. FC Bayern München,Gnabry feiert Rückkehr auf den Platz für den FC Bayern,https://www.ligainsider.de/serge-gnabry_4815/gnabry-feiert-rueckkehr-auf-den-platz-fuer-den-fc-bayern-418290/,3,0,0
33838,Kane,1. FC Bayern München,Kane peilt zeitnahe Vertragsverlänge­rung an,https://www.ligainsider.de/harry-kane_4828/kane-peilt-zeitnahe-vertragsverlaengerung-an-417946/,0,0,0
34524,Binder,1. FC Bayern München,,,0,0,0
31988,Drewes,Borussia Dortmund,Offiziell: Dortmund verstärkt Torwart-Team mit Bochums Drewes,https://www.ligainsider.de/patrick-drewes_1981/offiziell-dortmund-verstaerkt-torwart-team-mit-bochums-drewes-380044/,0,0,0
33539,Ostrzinski,Borussia Dortmund,Klub-WM: Das ist der Kader von Borussia Dortmund,https://www.ligainsider.de/silas-ostrzinski_27269/klub-wm-das-ist-der-kader-von-borussia-dortmund-379345/,0,0,0
32638,Kobel,Borussia Dortmund,Kobel im Fokus von Real – BVB will verlängern,https://www.ligainsider.de/gregor-kobel_9357/kobel-im-fokus-von-real-ndash-bvb-will-verlaengern-418116/,1,0,0
32841,Meyer,Borussia Dortmund,Meyer ersetzt Kobel im DFB-Pokal,https://www.ligainsider.de/alexander-meyer_14604/meyer-ersetzt-kobel-im-dfb-pokal-417303/,0,0,0
31935,Can,Borussia Dortmund,Königsklas­se ohne Can: Comeback nimmt Zeit in Anspruch,https://www.ligainsider.de/emre-can_1812/koenigsklasse-ohne-can-comeback-nimmt-zeit-in-anspruch-417656/,0,0,0
