spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
30755,Neuer,1. FC Bayern München,1340000,63,"2,86",21270,468531
34101,Klanac,1. FC Bayern München,160000,0,-,,
34284,Bärtl,1. FC Bayern München,160000,0,-,,
34353,Prescott,1. FC Bayern München,160000,0,-,,
31216,Ulreich,1. FC Bayern München,170000,6,"6,00",28333,28333
33494,Urbig,1. FC Bayern München,1510000,52,"3,71",29038,407008
34205,Kiala,1. FC Bayern München,230000,0,-,,
33975,Brown,1. FC Bayern München,7840000,141,"4,27",55603,1836066
33894,Boey,1. FC Bayern München,410000,15,"1,67",27333,245509
33823,Kim,1. FC Bayern München,2720000,112,"5,33",24286,510319
33796,Buchmann,1. FC Bayern München,180000,0,-,,
33496,Itō,1. FC Bayern München,1480000,60,"3,75",24667,394667
32720,Upamecano,1. FC Bayern München,5310000,107,"4,46",49626,1190583
33386,Stanišić,1. FC Bayern München,4440000,123,"4,73",36098,938689
32157,Tah,1. FC Bayern München,6800000,130,"4,81",52308,1413721
32800,Laimer,1. FC Bayern München,6410000,131,"4,52",48931,1418142
33021,Davies,1. FC Bayern München,3310000,45,"3,46",73556,956647
34206,Karl,1. FC Bayern München,8450000,115,"4,60",73478,1836957
34207,Santos Daiber,1. FC Bayern München,250000,4,"2,00",62500,125000
32445,Kimmich,1. FC Bayern München,14450000,217,"7,48",66590,1931818
34328,Chávez,1. FC Bayern München,450000,20,"2,22",22500,202703
34357,Osmani,1. FC Bayern München,230000,0,-,,
33504,Bischof,1. FC Bayern München,6140000,123,"5,35",49919,1147664
34018,João Palhinha,1. FC Bayern München,440000,0,-,,
34466,Saibari,1. FC Bayern München,16640000,0,-,,
33713,Ibrahimović,1. FC Bayern München,2740000,126,"4,06",21746,674877
33236,Musiala,1. FC Bayern München,14220000,62,"4,13",229355,3443099
33854,Pavlović,1. FC Bayern München,7240000,128,"5,33",56562,1358349
34254,Luis Díaz,1. FC Bayern München,15860000,227,"7,09",69868,2236953
34261,Mike,1. FC Bayern München,590000,6,"2,00",98333,295000
33898,Zaragoza,1. FC Bayern München,200000,0,-,,
33838,Kane,1. FC Bayern München,23490000,338,"10,90",69497,2155046
34350,Cardozo,1. FC Bayern München,370000,2,"2,00",185000,185000
34006,Sieb,1. FC Bayern München,590000,44,"2,10",13409,280952
32696,Gnabry,1. FC Bayern München,6050000,124,"5,90",48790,1025424
34014,Olise,1. FC Bayern München,16170000,268,"8,38",60336,1929594
33539,Ostrzinski,Borussia Dortmund,160000,0,-,,
33440,Ramaj,Borussia Dortmund,420000,105,"3,39",4000,123894
32841,Meyer,Borussia Dortmund,440000,0,-,,
32638,Kobel,Borussia Dortmund,2600000,124,"3,65",20968,712329
31988,Drewes,Borussia Dortmund,170000,0,-,,
34422,Gadou,Borussia Dortmund,4480000,0,-,,
34346,Reggiani,Borussia Dortmund,1310000,26,"3,71",50385,353100
34423,Prates,Borussia Dortmund,980000,0,-,,
34114,Svensson,Borussia Dortmund,3960000,125,"3,79",31680,1044855
34084,Mané,Borussia Dortmund,330000,-2,"-1,00",-165000,-330000
34066,Kabar,Borussia Dortmund,410000,3,"3,00",136667,136667
34033,Couto,Borussia Dortmund,1120000,73,"4,06",15342,275862
31935,Can,Borussia Dortmund,660000,50,"5,56",13200,118705
32452,Anton,Borussia Dortmund,6120000,162,"5,06",37778,1209486
33167,Bensebaini,Borussia Dortmund,3660000,123,"6,15",29756,595122
33141,Ryerson,Borussia Dortmund,4890000,128,"4,27",38203,1145199
33038,N. Schlotterbeck,Borussia Dortmund,6460000,188,"6,71",34362,962742
33498,F. Nmecha,Borussia Dortmund,8210000,108,"3,72",76019,2206989
32590,Sabitzer,Borussia Dortmund,2560000,98,"3,92",26122,653061
34364,Kaba,Borussia Dortmund,460000,0,-,,
34424,Lerma,Borussia Dortmund,2050000,0,-,,
34200,Bellingham,Borussia Dortmund,4750000,95,"3,17",50000,1498423
34117,Chukwuemeka,Borussia Dortmund,1530000,66,"2,54",23182,602362
32667,Guirassy,Borussia Dortmund,11180000,189,"5,73",59153,1951134
34347,Inácio,Borussia Dortmund,2850000,29,"4,14",98276,688406
34362,Albert,Borussia Dortmund,540000,0,-,,
33208,Beier,Borussia Dortmund,6250000,149,"4,66",41946,1341202
34283,Fábio Silva,Borussia Dortmund,2950000,82,"3,15",35976,936508
32267,Zingerle,RB Leipzig,170000,0,-,,
32575,Gulácsi,RB Leipzig,940000,77,"3,35",12208,280597
33919,Vandevoordt,RB Leipzig,1630000,40,"3,33",40750,489489
31846,W. Orbán,RB Leipzig,5800000,180,"5,45",32222,1064220
33837,Lukeba,RB Leipzig,3660000,105,"4,04",34857,905941
33848,Finkgräfe,RB Leipzig,750000,39,"4,33",19231,173210
34479,Estève,RB Leipzig,5170000,0,-,,
34055,Geertruida,RB Leipzig,290000,0,-,,
34431,Koné,RB Leipzig,2240000,0,-,,
33824,Bitshiabu,RB Leipzig,640000,38,"3,80",16842,168421
32461,Henrichs,RB Leipzig,1620000,23,"2,30",70435,704348
33436,Raum,RB Leipzig,7960000,195,"6,50",40821,1224615
32581,Klostermann,RB Leipzig,300000,9,"3,00",33333,100000
32889,Baku,RB Leipzig,4270000,133,"4,16",32105,1026442
33769,Seiwald,RB Leipzig,4680000,139,"4,21",33669,1111639
34348,Kaltefleiter,RB Leipzig,190000,0,-,,
34238,Maksimović,RB Leipzig,670000,13,"2,17",51538,308756
34185,Banzuzi,RB Leipzig,690000,56,"2,43",12321,283951
34119,Masanka Bungi,RB Leipzig,200000,0,-,,
34049,Vermeeren,RB Leipzig,460000,0,-,,
34042,Gebel,RB Leipzig,170000,0,-,,
33695,Gruda,RB Leipzig,9440000,63,"4,85",149841,1946392
33991,Ouédraogo,RB Leipzig,5990000,80,"4,71",74875,1271762
32977,Baumgartner,RB Leipzig,6420000,204,"6,18",31471,1038835
33353,Reitz,RB Leipzig,4780000,125,"4,03",38240,1186104
33878,Elmas,RB Leipzig,190000,0,-,,
34339,Thomas,RB Leipzig,250000,0,-,,
34330,Sani,RB Leipzig,240000,0,-,,
34309,Konaté,RB Leipzig,990000,0,-,,
34295,Harder,RB Leipzig,1810000,81,"3,12",22346,580128
34271,Rômulo,RB Leipzig,5310000,129,"4,30",41163,1234884
34250,Ramšak,RB Leipzig,170000,0,-,,
34240,Bakayoko,RB Leipzig,1880000,61,"3,39",30820,554572
34237,Diomande,RB Leipzig,10860000,218,"6,61",49817,1642965
34116,T. Gomis,RB Leipzig,870000,35,"2,19",24857,397260
34039,Nusa,RB Leipzig,8320000,151,"4,87",55099,1708419
31827,Blaswich,Bayer 04 Leverkusen,260000,57,"5,18",4561,50193
32007,Lomb,Bayer 04 Leverkusen,170000,0,-,,
32925,Flekken,Bayer 04 Leverkusen,2050000,76,"3,17",26974,646688
34190,I. Traoré,Bayer 04 Leverkusen,190000,0,-,,
33772,Arthur,Bayer 04 Leverkusen,1390000,57,"2,85",24386,487719
34201,Tape,Bayer 04 Leverkusen,690000,5,"0,83",138000,831325
34212,Faye,Bayer 04 Leverkusen,270000,0,-,,
33630,Oermann,Bayer 04 Leverkusen,380000,1,"0,50",380000,760000
34217,Quansah,Bayer 04 Leverkusen,4360000,126,"4,67",34603,933619
33207,Tapsoba,Bayer 04 Leverkusen,5880000,166,"5,72",35422,1027972
34272,Badé,Bayer 04 Leverkusen,2150000,91,"3,96",23626,542929
34277,Lucas Vázquez,Bayer 04 Leverkusen,760000,46,"3,83",16522,198433
33988,Belocian,Bayer 04 Leverkusen,920000,51,"2,43",18039,378601
34360,J. Mensah,Bayer 04 Leverkusen,210000,0,-,,
34264,Poku,Bayer 04 Leverkusen,3510000,116,"4,00",30259,877500
33992,García,Bayer 04 Leverkusen,8030000,212,"6,42",37877,1250779
33853,Tella,Bayer 04 Leverkusen,2670000,72,"4,80",37083,556250
32080,J. Hofmann,Bayer 04 Leverkusen,1940000,91,"3,96",21319,489899
32129,Andrich,Bayer 04 Leverkusen,3430000,104,"3,35",32981,1023881
34448,Eichhorn,Bayer 04 Leverkusen,8310000,0,-,,
33189,Palacios,Bayer 04 Leverkusen,5320000,70,"3,89",76000,1367609
33530,Tillman,Bayer 04 Leverkusen,4990000,145,"5,18",34414,963320
33709,Mbamba,Bayer 04 Leverkusen,180000,0,-,,
33744,Maza,Bayer 04 Leverkusen,6890000,133,"4,93",51805,1397566
34441,Berghoff,Bayer 04 Leverkusen,190000,0,-,,
34289,Fernández,Bayer 04 Leverkusen,1020000,64,"3,20",15938,318750
34311,Culbreath,Bayer 04 Leverkusen,2350000,37,"3,08",63514,762987
34428,Bomba,Bayer 04 Leverkusen,180000,0,-,,
34433,Damjanović,Bayer 04 Leverkusen,520000,0,-,,
34285,Ben Seghir,Bayer 04 Leverkusen,1520000,26,"3,25",58462,467692
34246,Alfa-Ruprecht,Bayer 04 Leverkusen,400000,0,-,,
34234,Kofane,Bayer 04 Leverkusen,4830000,105,"3,89",46000,1241645
