spieler_id,name,verein,marktwerttrend
30755,Neuer,1. FC Bayern München,steigend (Staerke 5)
34101,Klanac,1. FC Bayern München,unbekannt
34284,Bärtl,1. FC Bayern München,unbekannt
34353,Prescott,1. FC Bayern München,unbekannt
31216,Ulreich,1. FC Bayern München,unbekannt
33494,Urbig,1. FC Bayern München,fallend (Staerke 1)
34205,Kiala,1. FC Bayern München,fallend (Staerke 1)
33975,Brown,1. FC Bayern München,steigend (Staerke 1)
33894,Boey,1. FC Bayern München,steigend (Staerke 5)
33823,Kim,1. FC Bayern München,steigend (Staerke 1)
33796,Buchmann,1. FC Bayern München,steigend (Staerke 1)
33496,Itō,1. FC Bayern München,steigend (Staerke 3)
32720,Upamecano,1. FC Bayern München,fallend (Staerke 1)
32800,Laimer,1. FC Bayern München,unbekannt
33021,Davies,1. FC Bayern München,steigend (Staerke 5)
32157,Tah,1. FC Bayern München,steigend (Staerke 2)
33386,Stanišić,1. FC Bayern München,fallend (Staerke 1)
34328,Chávez,1. FC Bayern München,fallend (Staerke 1)
34321,Sapoko Ndiaye,1. FC Bayern München,unbekannt
32445,Kimmich,1. FC Bayern München,steigend (Staerke 1)
34357,Osmani,1. FC Bayern München,fallend (Staerke 2)
34207,Santos Daiber,1. FC Bayern München,unbekannt
34206,Karl,1. FC Bayern München,unbekannt
33504,Bischof,1. FC Bayern München,steigend (Staerke 2)
34466,Saibari,1. FC Bayern München,unbekannt
34018,João Palhinha,1. FC Bayern München,fallend (Staerke 2)
33713,Ibrahimović,1. FC Bayern München,unbekannt
33236,Musiala,1. FC Bayern München,fallend (Staerke 4)
33854,Pavlović,1. FC Bayern München,steigend (Staerke 1)
33898,Zaragoza,1. FC Bayern München,steigend (Staerke 1)
34261,Mike,1. FC Bayern München,fallend (Staerke 2)
33838,Kane,1. FC Bayern München,unbekannt
34350,Cardozo,1. FC Bayern München,steigend (Staerke 3)
34254,Luis Díaz,1. FC Bayern München,steigend (Staerke 3)
34014,Olise,1. FC Bayern München,steigend (Staerke 2)
32696,Gnabry,1. FC Bayern München,steigend (Staerke 1)
33539,Ostrzinski,Borussia Dortmund,unbekannt
32841,Meyer,Borussia Dortmund,fallend (Staerke 2)
33440,Ramaj,Borussia Dortmund,fallend (Staerke 1)
32638,Kobel,Borussia Dortmund,steigend (Staerke 1)
31988,Drewes,Borussia Dortmund,unbekannt
34422,Gadou,Borussia Dortmund,steigend (Staerke 1)
34423,Prates,Borussia Dortmund,fallend (Staerke 2)
34114,Svensson,Borussia Dortmund,unbekannt
34084,Mané,Borussia Dortmund,steigend (Staerke 5)
31935,Can,Borussia Dortmund,fallend (Staerke 2)
34346,Reggiani,Borussia Dortmund,unbekannt
33167,Bensebaini,Borussia Dortmund,unbekannt
33141,Ryerson,Borussia Dortmund,steigend (Staerke 2)
33038,N. Schlotterbeck,Borussia Dortmund,fallend (Staerke 1)
32452,Anton,Borussia Dortmund,steigend (Staerke 2)
33208,Beier,Borussia Dortmund,unbekannt
34424,Lerma,Borussia Dortmund,fallend (Staerke 4)
32590,Sabitzer,Borussia Dortmund,steigend (Staerke 1)
34364,Kaba,Borussia Dortmund,fallend (Staerke 2)
34495,Karetsas,Borussia Dortmund,steigend (Staerke 2)
34200,Bellingham,Borussia Dortmund,unbekannt
34117,Chukwuemeka,Borussia Dortmund,steigend (Staerke 1)
33498,F. Nmecha,Borussia Dortmund,steigend (Staerke 1)
34347,Inácio,Borussia Dortmund,steigend (Staerke 5)
34362,Albert,Borussia Dortmund,steigend (Staerke 5)
34283,Fábio Silva,Borussia Dortmund,steigend (Staerke 5)
32667,Guirassy,Borussia Dortmund,steigend (Staerke 1)
32267,Zingerle,RB Leipzig,steigend (Staerke 1)
32481,Nyland,RB Leipzig,steigend (Staerke 5)
33919,Vandevoordt,RB Leipzig,steigend (Staerke 1)
31846,W. Orbán,RB Leipzig,unbekannt
33837,Lukeba,RB Leipzig,steigend (Staerke 1)
33848,Finkgräfe,RB Leipzig,fallend (Staerke 1)
34479,Estève,RB Leipzig,unbekannt
34055,Geertruida,RB Leipzig,fallend (Staerke 1)
34431,Koné,RB Leipzig,fallend (Staerke 3)
33824,Bitshiabu,RB Leipzig,steigend (Staerke 4)
32461,Henrichs,RB Leipzig,steigend (Staerke 4)
33436,Raum,RB Leipzig,steigend (Staerke 2)
32889,Baku,RB Leipzig,fallend (Staerke 1)
32581,Klostermann,RB Leipzig,steigend (Staerke 1)
33769,Seiwald,RB Leipzig,steigend (Staerke 1)
34348,Kaltefleiter,RB Leipzig,unbekannt
34238,Maksimović,RB Leipzig,steigend (Staerke 5)
34185,Banzuzi,RB Leipzig,steigend (Staerke 5)
34119,Masanka Bungi,RB Leipzig,steigend (Staerke 1)
34049,Vermeeren,RB Leipzig,unbekannt
34042,Gebel,RB Leipzig,unbekannt
33695,Gruda,RB Leipzig,unbekannt
33991,Ouédraogo,RB Leipzig,fallend (Staerke 4)
32977,Baumgartner,RB Leipzig,unbekannt
33878,Elmas,RB Leipzig,unbekannt
33353,Reitz,RB Leipzig,fallend (Staerke 1)
34339,Thomas,RB Leipzig,unbekannt
34330,Sani,RB Leipzig,unbekannt
34309,Konaté,RB Leipzig,fallend (Staerke 2)
34295,Harder,RB Leipzig,unbekannt
34271,Rômulo,RB Leipzig,steigend (Staerke 2)
34250,Ramšak,RB Leipzig,unbekannt
34240,Bakayoko,RB Leipzig,steigend (Staerke 2)
34116,T. Gomis,RB Leipzig,unbekannt
34039,Nusa,RB Leipzig,steigend (Staerke 2)
31827,Blaswich,Bayer 04 Leverkusen,fallend (Staerke 1)
32007,Lomb,Bayer 04 Leverkusen,unbekannt
32925,Flekken,Bayer 04 Leverkusen,fallend (Staerke 1)
33988,Belocian,Bayer 04 Leverkusen,steigend (Staerke 2)
34201,Tape,Bayer 04 Leverkusen,steigend (Staerke 5)
34217,Quansah,Bayer 04 Leverkusen,steigend (Staerke 2)
34272,Badé,Bayer 04 Leverkusen,steigend (Staerke 1)
34277,Lucas Vázquez,Bayer 04 Leverkusen,steigend (Staerke 5)
34496,Gutiérrez,Bayer 04 Leverkusen,fallend (Staerke 2)
33772,Arthur,Bayer 04 Leverkusen,fallend (Staerke 1)
34498,Medina,Bayer 04 Leverkusen,unbekannt
33630,Oermann,Bayer 04 Leverkusen,unbekannt
33207,Tapsoba,Bayer 04 Leverkusen,unbekannt
33744,Maza,Bayer 04 Leverkusen,steigend (Staerke 2)
32129,Andrich,Bayer 04 Leverkusen,fallend (Staerke 1)
34289,Fernández,Bayer 04 Leverkusen,steigend (Staerke 5)
34441,Berghoff,Bayer 04 Leverkusen,unbekannt
34448,Eichhorn,Bayer 04 Leverkusen,fallend (Staerke 4)
32080,J. Hofmann,Bayer 04 Leverkusen,fallend (Staerke 3)
34264,Poku,Bayer 04 Leverkusen,steigend (Staerke 1)
33189,Palacios,Bayer 04 Leverkusen,unbekannt
33853,Tella,Bayer 04 Leverkusen,unbekannt
33992,García,Bayer 04 Leverkusen,steigend (Staerke 1)
33530,Tillman,Bayer 04 Leverkusen,steigend (Staerke 3)
34246,Alfa-Ruprecht,Bayer 04 Leverkusen,steigend (Staerke 5)
33827,Boniface,Bayer 04 Leverkusen,unbekannt
34461,Moreira,Bayer 04 Leverkusen,fallend (Staerke 2)
34433,Damjanović,Bayer 04 Leverkusen,fallend (Staerke 2)
34428,Bomba,Bayer 04 Leverkusen,unbekannt
34311,Culbreath,Bayer 04 Leverkusen,fallend (Staerke 5)
34285,Ben Seghir,Bayer 04 Leverkusen,fallend (Staerke 2)
34024,Terrier,Bayer 04 Leverkusen,steigend (Staerke 5)
34234,Kofane,Bayer 04 Leverkusen,steigend (Staerke 2)
33179,Schick,Bayer 04 Leverkusen,steigend (Staerke 1)
33747,Seimen,VfB Stuttgart,steigend (Staerke 2)
33401,M. Funk,VfB Stuttgart,unbekannt
33342,Drljača,VfB Stuttgart,unbekannt
32891,Bredlow,VfB Stuttgart,steigend (Staerke 2)
33552,Chabot,VfB Stuttgart,unbekannt
34001,Hendriks,VfB Stuttgart,steigend (Staerke 1)
34050,Al-Dakhil,VfB Stuttgart,unbekannt
34112,Jaquez,VfB Stuttgart,steigend (Staerke 1)
32880,Vagnoman,VfB Stuttgart,fallend (Staerke 2)
34115,Jeltsch,VfB Stuttgart,unbekannt
34197,Assignon,VfB Stuttgart,steigend (Staerke 2)
32773,Zagadou,VfB Stuttgart,fallend (Staerke 3)
32509,Mittelstädt,VfB Stuttgart,steigend (Staerke 2)
33850,Stergiou,VfB Stuttgart,steigend (Staerke 2)
34262,Ćatović,VfB Stuttgart,steigend (Staerke 1)
34074,Malanga,VfB Stuttgart,fallend (Staerke 1)
