spieler_id,name,form,gespielte_spiele_letzte_5_pct,gespielte_spiele_ampel
33263,Ache,5.0,20,rot
33802,Adamu,2.0,0,rot
33575,Adeyemi,5.0,40,gelb
33288,Agu,2.6,0,rot
34050,Al-Dakhil,1.6,0,rot
34362,Albert,0.0,20,rot
33896,Alvero,3.0,0,rot
34318,Amaimouni-Echghouyab,3.2,80,gruen
32395,Amiri,8.4,100,gruen
32129,Andrich,4.4,80,gruen
34199,Ansah,2.0,100,gruen
32452,Anton,5.2,100,gruen
34314,Arrhov,0.2,20,rot
33772,Arthur,2.2,80,gruen
34320,Arévalo,1.6,0,rot
33536,Asllani,4.6,100,gruen
34197,Assignon,2.6,60,gelb
33439,Atubolu,2.2,100,gruen
34202,Avdullahu,3.2,100,gruen
33647,Backhaus,4.8,100,gruen
34272,Badé,4.2,40,gelb
33890,Bahoya,4.2,60,gelb
34240,Bakayoko,1.8,60,gelb
32889,Baku,4.4,100,gruen
34194,Baldé,3.4,40,gelb
34185,Banzuzi,2.6,0,rot
32874,Batshuayi,2.8,0,rot
31693,Batz,3.4,80,gruen
33869,Baum,1.4,20,rot
31489,Baumann,2.8,100,gruen
32977,Baumgartner,4.8,100,gruen
34106,Behrens,3.8,100,gruen
33208,Beier,5.4,100,gruen
31666,Bell,7.4,0,rot
34200,Bellingham,3.6,100,gruen
33988,Belocian,4.2,100,gruen
34285,Ben Seghir,2.6,60,gelb
33167,Bensebaini,8.0,40,gelb
32693,Bernardo,3.8,100,gruen
32961,Beste,3.8,100,gruen
33504,Bischof,10.4,40,gelb
33824,Bitshiabu,4.6,60,gelb
31827,Blaswich,5.4,20,rot
33894,Boey,2.6,0,rot
34265,Bogdanov,0.5,20,rot
34342,Bolin,4.4,80,gruen
33827,Boniface,4.0,0,rot
34286,Bouanani,2.4,40,gelb
33975,Brown,3.4,100,gruen
34191,Burcu,3.4,100,gruen
34242,Burger,3.4,100,gruen
32948,Burkardt,6.4,100,gruen
32694,Burke,5.4,100,gruen
34291,Bøving,1.8,40,gelb
33139,Bülter,4.8,100,gruen
