spieler_id,name,spiele_gezaehlt,punkte_schnitt,standardabweichung,variationskoeffizient_pct
33254,Pherai,3,-1.0,4.97,-496.7
34084,Mané,2,-1.0,4.0,-400.0
31216,Ulreich,1,6.0,0.0,0.0
31743,Chandler,1,3.0,0.0,0.0
32599,Kleindienst,1,2.0,0.0,0.0
34066,Kabar,1,3.0,0.0,0.0
34107,Đurić,1,3.0,0.0,0.0
34111,M. Ljubičić,2,8.0,0.0,0.0
34137,Gazibegović,1,1.0,0.0,0.0
34144,Raab,1,9.0,0.0,0.0
34157,Sahiti,2,2.0,0.0,0.0
34213,Machida,1,1.0,0.0,0.0
34230,Jovanović,3,2.0,0.0,0.0
34245,Schmetgens,1,6.0,0.0,0.0
34265,Bogdanov,1,1.0,0.0,0.0
34308,Moreno Fell,1,1.0,0.0,0.0
34334,Tangvik,1,10.0,0.0,0.0
34350,Cardozo,1,2.0,0.0,0.0
34351,Schnitzer,1,1.0,0.0,0.0
34352,Neumann,1,0.0,0.0,
34354,Nandja,1,0.0,0.0,
34358,Güther,1,0.0,0.0,
34361,Tarnutzer,1,1.0,0.0,0.0
34274,Hein,2,7.0,1.0,14.3
34344,Ogundu,3,3.0,0.82,27.2
34249,Stange,9,2.44,0.68,28.0
33214,Ngankam,3,1.67,0.47,28.3
34328,Chávez,9,2.22,0.63,28.3
34326,Niang,6,2.0,0.58,28.9
34032,Klaus,4,4.0,1.22,30.6
33769,Seiwald,33,4.21,1.32,31.3
34016,Campbell,5,2.0,0.63,31.6
34079,Sarco,5,2.0,0.63,31.6
33211,Keitel,6,2.17,0.69,31.7
32549,Gouweleeuw,11,2.27,0.75,33.0
33896,Alvero,2,3.0,1.0,33.3
34320,Arévalo,4,2.5,0.87,34.6
31827,Blaswich,11,5.18,1.8,34.7
33869,Baum,5,1.4,0.49,35.0
34325,Schenten,4,2.0,0.71,35.4
32445,Kimmich,29,7.48,2.87,38.4
34231,Kawasaki,7,2.14,0.83,38.9
34112,Jaquez,13,3.46,1.39,40.2
34261,Mike,3,2.0,0.82,40.8
32452,Anton,32,5.06,2.09,41.3
33130,Krauß,25,3.48,1.45,41.5
34156,Røssing-Lelesiit,11,1.73,0.75,43.4
33574,Tohumcu,5,2.2,0.98,44.5
33992,García,33,6.42,2.86,44.5
32720,Upamecano,24,4.46,2.04,45.8
31935,Can,9,5.56,2.63,47.3
33823,Kim,21,5.33,2.57,48.2
34202,Avdullahu,33,3.67,1.77,48.3
34238,Maksimović,6,2.17,1.07,49.3
33224,Pieper,19,4.0,2.0,50.0
34207,Santos Daiber,2,2.0,1.0,50.0
34285,Ben Seghir,8,3.25,1.64,50.4
33935,Remberg,32,3.72,1.89,50.9
33824,Bitshiabu,10,3.8,1.94,51.0
33494,Urbig,14,3.71,1.94,52.3
34289,Fernández,20,3.2,1.69,52.8
32744,Hübers,8,3.75,1.98,52.9
32590,Sabitzer,25,3.92,2.08,53.0
33850,Stergiou,5,2.2,1.17,53.0
31572,Götze,21,2.24,1.19,53.2
34096,Wahi,10,1.5,0.81,53.7
32773,Zagadou,3,5.33,2.87,53.8
34347,Inácio,7,4.14,2.23,53.9
33189,Palacios,18,3.89,2.11,54.1
34286,Bouanani,13,2.46,1.34,54.3
33096,Trimmel,28,3.39,1.86,54.8
33835,Lynen,31,3.39,1.86,54.9
32509,Mittelstädt,32,6.12,3.37,55.0
33436,Raum,30,6.5,3.58,55.1
34014,Olise,32,8.38,4.62,55.2
34185,Banzuzi,23,2.43,1.35,55.3
33552,Chabot,27,4.37,2.42,55.4
33038,N. Schlotterbeck,28,6.71,3.76,56.0
33437,Stiller,34,5.29,2.97,56.0
33601,Chiarodia,12,2.17,1.21,56.0
33577,Caci,10,3.8,2.14,56.2
33838,Kane,31,10.9,6.14,56.3
32398,M. Eggestein,34,4.12,2.32,56.4
33158,Skov,3,1.67,0.94,56.6
33827,Boniface,11,3.18,1.8,56.6
32931,Neuhaus,17,3.12,1.78,57.0
32395,Amiri,26,7.54,4.32,57.3
34106,Behrens,16,4.12,2.37,57.4
33854,Pavlović,24,5.33,3.06,57.5
34098,Nordin,10,2.7,1.55,57.5
34272,Badé,23,3.96,2.27,57.5
32693,Bernardo,29,3.59,2.08,57.9
34283,Fábio Silva,26,3.15,1.83,58.1
32472,Elvedi,33,4.18,2.44,58.4
34039,Nusa,31,4.87,2.85,58.5
34194,Baldé,14,2.86,1.68,58.9
33093,Maloney,18,1.61,0.95,59.0
33110,Schmid,34,4.88,2.92,59.8
33135,S. Becker,14,4.57,2.74,60.0
34183,Irié,10,2.5,1.5,60.0
34291,Bøving,8,2.5,1.5,60.0
34233,Capaldo,26,3.69,2.23,60.5
33673,Damar,12,2.83,1.72,60.8
33141,Ryerson,30,4.27,2.61,61.1
34288,El Khannouss,25,5.56,3.43,61.7
34253,Chema Andrés,21,4.62,2.85,61.8
34009,Sano,34,4.18,2.58,61.9
33311,Demirović,23,6.35,3.94,62.1
32311,M. Friedrich,4,1.75,1.09,62.3
32206,Waldschmidt,23,4.26,2.66,62.4
33782,Larsson,24,3.67,2.3,62.8
32629,Heuer Fernandes,33,3.7,2.37,64.0
34196,Jóhannesson,30,3.33,2.13,64.0
32157,Tah,27,4.81,3.09,64.2
34148,Muheim,29,3.93,2.53,64.4
32858,Führich,32,5.66,3.65,64.6
33853,Tella,15,4.8,3.1,64.6
34191,Burcu,17,2.65,1.71,64.7
31846,W. Orbán,33,5.45,3.53,64.8
34200,Bellingham,30,3.17,2.05,64.8
31985,Stöger,29,3.31,2.15,65.0
32961,Beste,27,3.63,2.36,65.0
32638,Kobel,34,3.65,2.37,65.1
33603,Y. Engelhardt,30,3.6,2.35,65.2
34171,Fellhauer,34,3.68,2.4,65.2
32696,Gnabry,21,5.9,3.85,65.3
32953,K. Schlotterbeck,24,4.0,2.61,65.4
34258,Omari,20,2.65,1.74,65.7
33156,Osterhage,19,2.74,1.8,65.8
33832,Undav,29,7.52,4.97,66.1
32408,Zetterer,22,3.68,2.44,66.2
33536,Asllani,33,5.18,3.43,66.2
33821,Kemlein,30,2.7,1.79,66.4
34244,Musah,7,3.14,2.1,66.8
31910,Ginter,32,4.47,3.0,67.1
34316,Ebnoutalib,5,2.6,1.74,67.1
33386,Stanišić,26,4.73,3.21,67.8
34237,Diomande,33,6.61,4.48,67.8
33707,Hanche-Olsen,13,3.0,2.04,67.9
34275,Hajdari,30,3.97,2.7,68.1
33669,Nsoki,13,2.77,1.89,68.2
33817,Honorat,28,3.79,2.58,68.2
34063,Claude-Maurice,29,5.31,3.62,68.2
34257,Coufal,34,4.68,3.19,68.2
34050,Al-Dakhil,6,2.5,1.71,68.3
31693,Batz,21,4.14,2.83,68.4
33741,Topp,19,2.79,1.91,68.4
34254,Luis Díaz,32,7.09,4.88,68.7
32019,Günter,23,1.91,1.32,68.8
34267,van den Berg,13,2.46,1.69,68.8
33530,Tillman,28,5.18,3.57,68.9
34155,Dompé,19,4.95,3.41,68.9
32654,Nicolas,34,4.79,3.31,69.0
34236,Massengo,33,3.36,2.32,69.0
32667,Guirassy,33,5.73,3.96,69.1
32710,Torunarigha,24,3.42,2.36,69.1
32861,Höler,33,3.09,2.14,69.1
33207,Tapsoba,29,5.72,3.96,69.1
33477,Lee,28,3.89,2.69,69.1
33498,F. Nmecha,29,3.72,2.57,69.1
33995,Querfeld,30,4.2,2.94,69.9
32830,Nartey,25,4.64,3.25,70.0
32310,Haberer,27,2.19,1.54,70.5
33619,Hložek,3,0.67,0.47,70.7
33812,Milošević,12,3.67,2.59,70.7
33356,Martel,31,3.71,2.64,71.2
34017,N. Banks,23,3.57,2.55,71.5
34318,Amaimouni-Echghouyab,17,3.24,2.31,71.5
33858,Deman,16,4.31,3.1,71.8
33687,Njinmah,33,3.33,2.4,71.9
32581,Klostermann,3,3.0,2.16,72.0
33496,Itō,16,3.75,2.7,72.1
33640,Stage,29,6.07,4.38,72.1
33167,Bensebaini,20,6.15,4.44,72.2
33923,Grüll,33,3.48,2.52,72.4
33919,Vandevoordt,12,3.33,2.43,72.8
34277,Lucas Vázquez,12,3.83,2.79,72.9
33021,Davies,13,3.46,2.53,73.1
34234,Kofane,27,3.89,2.86,73.5
33713,Ibrahimović,31,4.06,2.99,73.7
33938,Machino,28,3.07,2.27,73.8
32591,Poulsen,15,2.8,2.07,74.0
33139,Bülter,31,4.13,3.06,74.0
34115,Jeltsch,21,2.81,2.08,74.2
33134,Pedersen,7,1.57,1.18,75.0
33557,Tiago Tomás,26,3.96,2.98,75.2
33647,Backhaus,32,3.88,2.92,75.4
34342,Bolin,13,3.15,2.38,75.5
33353,Reitz,31,4.03,3.07,76.2
33478,Widmer,27,3.48,2.66,76.3
33997,Rieder,31,4.77,3.64,76.3
33085,Karazor,25,3.2,2.45,76.5
34206,Karl,25,4.6,3.52,76.6
32492,Prömel,31,4.65,3.56,76.7
33263,Ache,29,4.52,3.48,77.0
32071,Grifo,33,4.52,3.49,77.3
34287,Castro-Montes,14,4.0,3.09,77.3
32575,Gulácsi,23,3.35,2.6,77.6
34290,Sambi Lokonga,26,4.38,3.43,78.3
34001,Hendriks,30,2.47,1.94,78.8
34139,S. El Mala,34,4.44,3.5,78.8
33504,Bischof,23,5.35,4.22,78.9
33885,Moerstedt,21,2.43,1.92,78.9
34307,Potulski,15,3.93,3.11,79.0
34114,Svensson,33,3.79,3.0,79.3
34311,Culbreath,12,3.08,2.47,79.9
34240,Bakayoko,18,3.39,2.71,80.0
33440,Ramaj,31,3.39,2.72,80.3
33616,Skarke,22,2.45,1.97,80.3
34184,Suzuki,25,3.56,2.86,80.3
33837,Lukeba,26,4.04,3.25,80.5
33856,Chaïbi,27,4.22,3.4,80.6
33848,Finkgräfe,9,4.33,3.5,80.7
31489,Baumann,34,3.03,2.46,81.0
32073,Khedira,32,3.44,2.78,81.0
33736,Kömür,26,3.42,2.78,81.1
34116,T. Gomis,16,2.19,1.78,81.2
34027,Giannoulis,27,4.07,3.31,81.3
33772,Arthur,20,2.85,2.33,81.7
32080,J. Hofmann,23,3.96,3.24,81.8
33744,Maza,27,4.93,4.03,81.8
34048,Hranáč,29,3.03,2.48,81.9
34243,Mbangula,25,3.52,2.89,82.0
33978,Sander,30,3.9,3.22,82.5
33208,Beier,32,4.66,3.85,82.6
33439,Atubolu,34,3.68,3.04,82.6
33975,Brown,33,4.27,3.54,83.0
32787,Hack,7,3.57,2.97,83.1
33829,Makengo,20,2.2,1.83,83.3
32889,Baku,32,4.16,3.47,83.6
34187,Diks,30,4.57,3.82,83.6
33236,Musiala,15,4.13,3.46,83.7
33802,Adamu,9,3.33,2.79,83.7
34295,Harder,26,3.12,2.61,83.7
34008,Uzun,21,5.29,4.45,84.2
34024,Terrier,18,4.06,3.42,84.4
33157,Skhiri,25,2.16,1.83,84.5
33720,Juranović,11,3.64,3.08,84.8
32800,Laimer,29,4.52,3.86,85.4
32553,Kramarić,34,6.47,5.54,85.6
33629,Scherhant,31,3.06,2.63,85.7
34217,Quansah,27,4.67,4.0,85.7
33517,Jakić,26,3.38,2.91,86.0
33179,Schick,28,6.21,5.36,86.3
34059,Ilić,32,4.19,3.62,86.4
32178,Mwene,29,3.03,2.63,86.8
34033,Couto,18,4.06,3.52,86.8
33890,Bahoya,27,4.11,3.57,86.9
32597,Kübler,23,3.65,3.18,87.2
34021,Ogbus,17,2.35,2.06,87.4
33564,Kade,28,4.61,4.03,87.5
34117,Chukwuemeka,26,2.54,2.22,87.6
33411,Leweling,32,5.12,4.5,87.8
34239,Coulibaly,27,2.11,1.85,87.8
33991,Ouédraogo,17,4.71,4.14,88.0
30755,Neuer,22,2.86,2.53,88.3
34331,Ribeiro,14,3.14,2.77,88.3
33988,Belocian,21,2.43,2.15,88.6
34043,Theate,24,3.42,3.03,88.6
33364,Dinkçi,22,2.95,2.62,88.7
34270,Mohya,15,3.07,2.72,88.7
34337,Grønbæk,7,4.57,4.07,88.9
32356,Schwäbe,34,3.12,2.79,89.6
34242,Burger,30,4.97,4.45,89.7
32129,Andrich,31,3.35,3.03,90.4
34271,Rômulo,30,4.3,3.89,90.5
32807,Lienhart,20,3.45,3.14,91.0
32881,Maina,23,3.0,2.75,91.7
34091,Čović,14,2.21,2.04,92.2
34158,Königsdörffer,33,3.21,2.98,92.8
32948,Burkardt,21,6.1,5.69,93.3
32836,Koch,32,4.25,3.98,93.6
33288,Agu,11,2.73,2.56,93.9
32977,Baumgartner,33,6.18,5.81,94.0
33383,Knauff,28,3.29,3.09,94.1
34057,Matsima,17,3.47,3.27,94.3
33198,Reyna,19,2.68,2.54,94.4
32546,Wolf,27,2.48,2.35,94.6
33185,Thielmann,26,3.0,2.86,95.2
33270,Lemperle,29,3.97,3.77,95.2
32630,Jatta,15,2.47,2.36,95.8
33783,Matanović,31,4.9,4.71,96.1
33947,Treu,28,2.68,2.58,96.2
33575,Adeyemi,25,4.2,4.05,96.4
34241,Sebulonsen,31,1.94,1.87,96.4
32579,Jung,12,1.75,1.69,96.5
34062,Chaves,15,3.8,3.67,96.7
33026,Kabak,24,4.71,4.61,98.0
34264,Poku,29,4.0,3.95,98.7
33507,Wimmer,25,3.6,3.56,98.8
33335,Doan,31,4.42,4.38,99.0
31762,da Costa,34,3.41,3.41,99.8
