verein,spieler_id,name,position,punkte,einsaetze,punkte_pro_spiel,marktwert,trend
1. FC Bayern München,30755,Neuer,Torwart,10,2 (2),"5,00",1970000,steigend (Staerke 1)
1. FC Bayern München,34284,Bärtl,Torwart,0,-,-,160000,unbekannt
1. FC Bayern München,33494,Urbig,Torwart,0,-,-,1250000,fallend (Staerke 2)
1. FC Bayern München,34353,Prescott,Torwart,0,-,-,170000,unbekannt
1. FC Bayern München,34101,Klanac,Torwart,0,-,-,160000,unbekannt
1. FC Bayern München,31216,Ulreich,Torwart,0,-,-,170000,fallend (Staerke 1)
1. FC Bayern München,32800,Laimer,Abwehr,-1,2 (2),"-0,50",5120000,fallend (Staerke 3)
1. FC Bayern München,34205,Kiala,Abwehr,0,-,-,160000,fallend (Staerke 1)
1. FC Bayern München,33975,Brown,Abwehr,5,2 (2),"2,50",6860000,fallend (Staerke 5)
1. FC Bayern München,33894,Boey,Abwehr,0,-,-,680000,unbekannt
1. FC Bayern München,33823,Kim,Abwehr,4,1 (1),"4,00",4280000,steigend (Staerke 3)
1. FC Bayern München,33796,Buchmann,Abwehr,0,-,-,180000,unbekannt
1. FC Bayern München,32720,Upamecano,Abwehr,25,2 (2),"12,50",8180000,steigend (Staerke 4)
1. FC Bayern München,33496,Itō,Abwehr,0,-,-,1200000,steigend (Staerke 2)
1. FC Bayern München,32157,Tah,Abwehr,14,2 (2),"7,00",5980000,fallend (Staerke 1)
1. FC Bayern München,33386,Stanišić,Abwehr,2,1 (1),"2,00",3860000,fallend (Staerke 3)
1. FC Bayern München,33021,Davies,Abwehr,18,2 (2),"9,00",6570000,steigend (Staerke 5)
1. FC Bayern München,34207,Santos Daiber,Mittelfeld,0,-,-,160000,fallend (Staerke 1)
1. FC Bayern München,34206,Karl,Mittelfeld,2,2 (2),"1,00",7290000,fallend (Staerke 2)
1. FC Bayern München,34321,Sapoko Ndiaye,Mittelfeld,0,-,-,2140000,unbekannt
1. FC Bayern München,34357,Osmani,Mittelfeld,0,-,-,250000,unbekannt
1. FC Bayern München,33236,Musiala,Mittelfeld,0,1 (1),"0,00",9750000,steigend (Staerke 1)
1. FC Bayern München,33854,Pavlović,Mittelfeld,21,2 (2),"10,50",9420000,steigend (Staerke 2)
1. FC Bayern München,34466,Saibari,Mittelfeld,10,2 (2),"5,00",17600000,steigend (Staerke 2)
1. FC Bayern München,32445,Kimmich,Mittelfeld,23,2 (2),"11,50",14730000,fallend (Staerke 1)
1. FC Bayern München,33504,Bischof,Mittelfeld,5,2 (2),"2,50",5560000,fallend (Staerke 2)
1. FC Bayern München,32696,Gnabry,Sturm,0,-,-,6570000,fallend (Staerke 1)
1. FC Bayern München,34350,Cardozo,Sturm,0,-,-,490000,fallend (Staerke 3)
1. FC Bayern München,34014,Olise,Sturm,16,2 (2),"8,00",19140000,fallend (Staerke 1)
1. FC Bayern München,34254,Luis Díaz,Sturm,10,2 (2),"5,00",15670000,fallend (Staerke 1)
1. FC Bayern München,33838,Kane,Sturm,10,2 (2),"5,00",21280000,unbekannt
Borussia Dortmund,31988,Drewes,Torwart,0,-,-,160000,unbekannt
Borussia Dortmund,33539,Ostrzinski,Torwart,0,-,-,160000,unbekannt
Borussia Dortmund,32638,Kobel,Torwart,11,2 (2),"5,50",3200000,fallend (Staerke 2)
Borussia Dortmund,32841,Meyer,Torwart,0,-,-,350000,fallend (Staerke 1)
Borussia Dortmund,31935,Can,Abwehr,0,-,-,530000,fallend (Staerke 1)
Borussia Dortmund,34084,Mané,Abwehr,4,2 (2),"2,00",1510000,unbekannt
Borussia Dortmund,34423,Prates,Abwehr,3,1 (1),"3,00",760000,steigend (Staerke 5)
Borussia Dortmund,33167,Bensebaini,Abwehr,0,-,-,3740000,unbekannt
Borussia Dortmund,33141,Ryerson,Abwehr,11,2 (2),"5,50",6750000,steigend (Staerke 4)
Borussia Dortmund,33038,N. Schlotterbeck,Abwehr,0,-,-,6030000,fallend (Staerke 1)
Borussia Dortmund,34422,Gadou,Abwehr,9,2 (2),"4,50",5650000,unbekannt
Borussia Dortmund,34346,Reggiani,Abwehr,2,1 (1),"2,00",840000,unbekannt
Borussia Dortmund,32452,Anton,Abwehr,16,2 (2),"8,00",6890000,unbekannt
Borussia Dortmund,34114,Svensson,Abwehr,14,2 (2),"7,00",5820000,steigend (Staerke 5)
Borussia Dortmund,34424,Lerma,Mittelfeld,0,-,-,510000,fallend (Staerke 3)
Borussia Dortmund,34495,Karetsas,Mittelfeld,11,2 (2),"5,50",22190000,fallend (Staerke 1)
Borussia Dortmund,34503,Konstantelias,Mittelfeld,12,1 (1),"12,00",14200000,fallend (Staerke 2)
Borussia Dortmund,34505,Veerman,Mittelfeld,4,2 (2),"2,00",11370000,fallend (Staerke 2)
Borussia Dortmund,34507,dos Santos,Mittelfeld,0,-,-,730000,unbekannt
Borussia Dortmund,34364,Kaba,Mittelfeld,0,-,-,220000,unbekannt
Borussia Dortmund,34519,Nwaneri,Mittelfeld,1,1 (1),"1,00",6930000,unbekannt
Borussia Dortmund,32590,Sabitzer,Mittelfeld,3,2 (1),"3,00",3310000,steigend (Staerke 5)
Borussia Dortmund,33208,Beier,Mittelfeld,8,2 (2),"4,00",6600000,steigend (Staerke 1)
Borussia Dortmund,33498,F. Nmecha,Mittelfeld,7,2 (2),"3,50",7610000,unbekannt
Borussia Dortmund,34117,Chukwuemeka,Mittelfeld,0,-,-,1790000,steigend (Staerke 3)
Borussia Dortmund,34200,Bellingham,Mittelfeld,15,2 (2),"7,50",7810000,steigend (Staerke 5)
Borussia Dortmund,34283,Fábio Silva,Sturm,7,1 (1),"7,00",3340000,fallend (Staerke 1)
Borussia Dortmund,32667,Guirassy,Sturm,22,2 (2),"11,00",14650000,unbekannt
Borussia Dortmund,34347,Inácio,Sturm,-4,1 (1),"-4,00",3010000,fallend (Staerke 2)
Borussia Dortmund,34362,Albert,Sturm,0,-,-,1240000,steigend (Staerke 5)
RB Leipzig,32267,Zingerle,Torwart,0,-,-,170000,unbekannt
RB Leipzig,32481,Nyland,Torwart,0,-,-,610000,steigend (Staerke 2)
RB Leipzig,33919,Vandevoordt,Torwart,9,2 (2),"4,50",3220000,steigend (Staerke 2)
RB Leipzig,31846,W. Orbán,Abwehr,12,2 (2),"6,00",7540000,unbekannt
RB Leipzig,33848,Finkgräfe,Abwehr,0,-,-,490000,fallend (Staerke 2)
RB Leipzig,33436,Raum,Abwehr,11,2 (2),"5,50",8430000,unbekannt
RB Leipzig,34431,Koné,Abwehr,0,-,-,750000,fallend (Staerke 2)
RB Leipzig,34479,Estève,Abwehr,8,1 (1),"8,00",4090000,fallend (Staerke 3)
RB Leipzig,32889,Baku,Abwehr,25,2 (2),"12,50",7160000,steigend (Staerke 3)
RB Leipzig,32581,Klostermann,Abwehr,0,-,-,460000,fallend (Staerke 2)
RB Leipzig,32461,Henrichs,Abwehr,4,1 (1),"4,00",2180000,steigend (Staerke 4)
RB Leipzig,33837,Lukeba,Abwehr,8,1 (1),"8,00",5880000,steigend (Staerke 3)
RB Leipzig,34185,Banzuzi,Mittelfeld,-2,2 (2),"-1,00",4180000,steigend (Staerke 2)
RB Leipzig,34238,Maksimović,Mittelfeld,8,1 (1),"8,00",1290000,fallend (Staerke 1)
RB Leipzig,34348,Kaltefleiter,Mittelfeld,0,-,-,170000,unbekannt
RB Leipzig,34042,Gebel,Mittelfeld,0,-,-,170000,unbekannt
RB Leipzig,34518,El Aynaoui,Mittelfeld,0,1 (1),"0,00",7510000,unbekannt
